 	vestito	il	mio	fratello	lo	avevo	portato	fuori	con	me	</S>
a14	0.04369654	0.042716008	0.042353246	0.042494204	0.04340051	0.043472946	0.056989744	0.0660145	0.19839878	0.23375155	0.18671192
a6	0.03191665	0.028046414	0.032177467	0.054238245	0.07598912	0.058928225	0.06769326	0.11806953	0.09089626	0.17977618	0.2622686
a37	0.057569306	0.044077758	0.062144175	0.10643127	0.13058871	0.10402081	0.08726598	0.14422344	0.06735571	0.09071933	0.10560344
a24	0.14826971	0.09915488	0.12283411	0.14604296	0.13594538	0.10316043	0.052218493	0.08908034	0.024556722	0.0347733	0.0439637
a28	0.09263769	0.05992292	0.09052821	0.14223805	0.16051915	0.11812371	0.06407908	0.12243164	0.0446374	0.05389176	0.05099037
a31	0.11104629	0.07646682	0.11599746	0.14533895	0.14356947	0.116386995	0.061083663	0.10178739	0.038482536	0.047108624	0.042731743
a46	0.15706125	0.09705311	0.12556419	0.098926336	0.07456028	0.07257752	0.08066946	0.095277674	0.0751754	0.06321784	0.05991691
a8	0.05622993	0.041333735	0.045605846	0.07788185	0.12540308	0.08781211	0.09873196	0.16486771	0.097164474	0.10863159	0.096337676
a31	0.050773177	0.037730653	0.03764167	0.06657325	0.10879026	0.08903557	0.09319131	0.1484357	0.10144179	0.12961993	0.13676663
a10	0.15128197	0.115596555	0.15679826	0.13222958	0.08541257	0.07996191	0.050401658	0.08581778	0.048309833	0.04779428	0.04639568
a37	0.06947663	0.059921794	0.06543843	0.116818294	0.14342791	0.09002637	0.076630086	0.13048357	0.07181168	0.079412565	0.09655261
a10	0.08566365	0.06619871	0.088752896	0.16004384	0.15723976	0.09118884	0.06933847	0.105114676	0.04903889	0.05723992	0.070180394
a17	0.09079965	0.06867482	0.089610875	0.16019766	0.14996453	0.09098514	0.06821153	0.09999887	0.04961343	0.05938496	0.07255859
a20	0.07222291	0.05909205	0.060767464	0.10242031	0.12856352	0.0890465	0.08757071	0.13023135	0.08331367	0.08958905	0.09718243
a31	0.08063372	0.06437647	0.082514524	0.15040167	0.15620153	0.089059725	0.07542398	0.09522897	0.048613016	0.06494407	0.092602275
a20	0.15013364	0.1086058	0.10889529	0.10309256	0.07694575	0.083581336	0.05313041	0.09136544	0.078860246	0.07935601	0.06603347
a31	0.069844104	0.06333374	0.0585857	0.07219499	0.08394048	0.06300284	0.08304787	0.08123491	0.09620445	0.13968049	0.18893036
a13	0.16687196	0.12146749	0.10512427	0.10824635	0.100292526	0.07419976	0.04866282	0.08535646	0.067574374	0.06586297	0.056340996
a10	0.057706755	0.057196185	0.05159015	0.053785678	0.050737817	0.05784021	0.058624897	0.05627977	0.15334302	0.20839684	0.19449864
a31	0.06029322	0.059520062	0.05743843	0.05957793	0.060190193	0.057765257	0.0713138	0.06739569	0.11071725	0.17479123	0.22099696
a17	0.1689667	0.12272107	0.11091954	0.10471313	0.10449474	0.066260904	0.053835772	0.08738246	0.05737002	0.06138774	0.06194794
</S>	0.062627465	0.06193881	0.059136137	0.059600618	0.05519096	0.060826574	0.06674616	0.061648026	0.1403673	0.18953185	0.18238606
