 	sta	seduta	nel	giardino	</S>
a20	0.20583358	0.2012379	0.16840623	0.16363049	0.26089177
a17	0.25836712	0.20138402	0.113140516	0.1673162	0.2597921
a20	0.260453	0.17260973	0.18440291	0.17850238	0.20403197
a31	0.5224046	0.1660034	0.124542445	0.11334683	0.07370275
a17	0.35373864	0.1689776	0.19495273	0.15787084	0.12446015
a31	0.2765821	0.13316146	0.19088666	0.18656406	0.21280575
a46	0.35744408	0.16244133	0.17719401	0.17913297	0.1237876
a31	0.26904884	0.12660979	0.15607853	0.21192338	0.23633954
a20	0.42105305	0.15757836	0.15208188	0.17190517	0.09738148
a31	0.32612678	0.13366872	0.1730705	0.21603042	0.15110357
a20	0.4267652	0.12207888	0.15980138	0.18443678	0.10691764
a18	0.3374479	0.12240157	0.18255556	0.19747242	0.16012251
a46	0.38013244	0.15305156	0.098264635	0.17423998	0.19431143
a20	0.35845494	0.18998766	0.074049376	0.16388625	0.21362177
a31	0.3538543	0.20917842	0.0844121	0.15753095	0.19502431
a18	0.3919683	0.12590659	0.1661573	0.18788713	0.12808067
a31	0.3286687	0.1526836	0.074918665	0.17526977	0.2684593
a0	0.43915722	0.1433155	0.12553002	0.16286257	0.12913467
a31	0.37548754	0.21476313	0.087971106	0.110668294	0.21110995
a8	0.44471216	0.15537	0.104675144	0.15243231	0.14281045
a31	0.41476098	0.23743029	0.08905605	0.091024145	0.16772853
a18	0.44383687	0.1632731	0.08529536	0.13736022	0.17023443
a31	0.39715776	0.2816657	0.09267545	0.08095616	0.14754494
a17	0.4742143	0.16067371	0.079990715	0.12856515	0.15655611
</S>	0.39751914	0.2778794	0.09498921	0.080997184	0.14861518
