 	che	sapeva	che	non	può	fare	il	bagno	</S>
a31	0.056190148	0.05680966	0.067170605	0.10148915	0.122342944	0.15874083	0.15989694	0.15813702	0.11922267
a20	0.11088117	0.10603137	0.085735165	0.07157204	0.083109125	0.16559295	0.16177769	0.17437895	0.040921558
a28	0.11959749	0.15725893	0.09737394	0.073751345	0.08434537	0.1502921	0.12888576	0.1320585	0.056436606
a31	0.15240362	0.20174386	0.14316943	0.082637705	0.05193078	0.11203946	0.09610084	0.10196908	0.058005236
a39	0.15655352	0.19074993	0.14474018	0.070208594	0.050950933	0.11828333	0.10099051	0.10607866	0.061444268
a24	0.120779715	0.12195964	0.10622375	0.070257895	0.07446827	0.1485379	0.12524286	0.12853862	0.10399136
a31	0.100786895	0.10442058	0.107693136	0.08866021	0.08659299	0.14001834	0.13177453	0.13017595	0.1098774
a17	0.10982887	0.12751454	0.11603432	0.086499505	0.08124548	0.15522093	0.12032044	0.11539726	0.0879387
a31	0.11531393	0.10653756	0.112761	0.09502297	0.10362154	0.12621908	0.113194436	0.116410196	0.11091932
a39	0.0936647	0.11005222	0.11639581	0.09696466	0.09259306	0.19592966	0.12233008	0.10921751	0.0628523
a41	0.10210447	0.10947249	0.12423309	0.10128883	0.09421772	0.1478164	0.11448722	0.1178081	0.08857161
a31	0.09149895	0.11365222	0.12806122	0.11026746	0.09731817	0.182685	0.121905185	0.1018799	0.052731887
a33	0.09530928	0.08721061	0.09378897	0.082269564	0.11860513	0.19726297	0.1498341	0.13444242	0.041276965
a31	0.074086905	0.0937817	0.09943377	0.10143976	0.12179891	0.21810631	0.13976143	0.11019297	0.041398156
</S>	0.09170198	0.0822639	0.08785429	0.08299098	0.12848496	0.20122346	0.15052411	0.13519755	0.039758753
