 	non	aveva	cosa	a	fare	</S>
a31	0.1132087	0.15766281	0.1901077	0.18293998	0.18796411	0.16811675
a18	0.23428908	0.17345065	0.1261492	0.14830716	0.18738832	0.1304157
a24	0.19562067	0.162341	0.12642525	0.15694825	0.17579068	0.18287414
a20	0.27207556	0.192156	0.12751421	0.14380902	0.141019	0.12342621
a31	0.37281165	0.20986283	0.11839926	0.12729317	0.090066254	0.08156688
a18	0.37216163	0.21645004	0.10652881	0.1261407	0.09039304	0.0883257
a31	0.32468545	0.21638149	0.1197686	0.10175193	0.10707533	0.13033715
a17	0.3988542	0.26327196	0.10256336	0.07049334	0.07632103	0.088496126
a20	0.36861175	0.24298812	0.10747448	0.07851126	0.07969441	0.12271995
a31	0.31377074	0.30009988	0.16905227	0.06711785	0.07608735	0.07387196
</S>	0.39515927	0.25858065	0.11624074	0.06211123	0.07908326	0.08882479
