 	se	aveva	vestito	la	figlia	l	avessi	portato	alla	chiesa	</S>
a23	0.041052252	0.040155213	0.039629452	0.040134374	0.04711344	0.05011872	0.062404152	0.10425169	0.16563758	0.22796555	0.18153761
a31	0.025811689	0.024668673	0.02390101	0.03842812	0.06411916	0.07102631	0.07816681	0.11916664	0.12885511	0.19380446	0.23205207
a20	0.19385245	0.13875516	0.08932476	0.0602551	0.08307202	0.076473325	0.072839804	0.08939251	0.08338608	0.061505355	0.051143486
a13	0.10729554	0.08997956	0.081277594	0.132276	0.124400586	0.09183958	0.073457785	0.08046165	0.072450794	0.06903654	0.077524364
a37	0.09734823	0.08220341	0.0822436	0.1287421	0.1300658	0.0971446	0.08050267	0.07895368	0.08128088	0.0702694	0.07124568
a31	0.15669675	0.1474591	0.116864845	0.11788113	0.09313208	0.07316122	0.05973159	0.070362605	0.065354295	0.05255303	0.04680333
a43	0.16355191	0.12501036	0.09519201	0.06226673	0.07747554	0.076589964	0.075106926	0.08975337	0.0941374	0.080605805	0.06030999
a31	0.043472197	0.0360363	0.031509064	0.05642959	0.13390355	0.12924889	0.117124766	0.09696263	0.12954019	0.10993698	0.115835786
a24	0.17503384	0.14256322	0.113190696	0.070873186	0.06955591	0.061907426	0.06372945	0.080037385	0.08994156	0.08220868	0.050958652
a7	0.10124371	0.087191835	0.069232665	0.08618943	0.10267434	0.07281449	0.07289292	0.082549065	0.13449726	0.119677976	0.07103632
a31	0.054108825	0.04633189	0.040649083	0.069341026	0.13417768	0.11411709	0.0976213	0.08113019	0.13190493	0.12290996	0.10770801
a13	0.1717911	0.1333535	0.115127675	0.069309406	0.061424058	0.0600488	0.06666674	0.08627294	0.09373486	0.08548443	0.05678639
a28	0.09867545	0.08717027	0.067138955	0.07767599	0.10385377	0.071453124	0.067160726	0.078173846	0.12165669	0.12811954	0.09892154
a20	0.091411024	0.08030285	0.06693478	0.0920756	0.12725204	0.08328686	0.06875013	0.07458619	0.100901976	0.11595246	0.098546125
a31	0.11331883	0.099091336	0.09134965	0.111471504	0.11563009	0.071932465	0.058923114	0.06689978	0.08012976	0.10373459	0.087518826
a37	0.16272242	0.11807865	0.10137152	0.06664971	0.06203268	0.0655304	0.0753384	0.09564345	0.09960316	0.08707219	0.06595737
a1	0.0989548	0.08839825	0.070890985	0.0798317	0.112961404	0.072417624	0.061286334	0.07124642	0.08886122	0.12091312	0.13423811
a28	0.0736285	0.06382314	0.050640628	0.066161424	0.123033196	0.09276561	0.07360242	0.07842809	0.10460021	0.13131335	0.14200333
a1	0.08055565	0.073585935	0.070013225	0.10204377	0.13022919	0.08006447	0.058319353	0.06880811	0.07918199	0.113941155	0.14325719
a28	0.08440836	0.07280063	0.056743123	0.073674925	0.12613674	0.08469907	0.06498069	0.07463407	0.09186298	0.12091674	0.1491427
a31	0.0785823	0.071257144	0.065024	0.093121774	0.12531678	0.07817765	0.05722039	0.07195359	0.08079881	0.11648506	0.16206242
a20	0.17434458	0.11951323	0.09125228	0.076696865	0.06227027	0.058468096	0.0670098	0.08648252	0.106501475	0.09379384	0.06366708
a31	0.05123462	0.0482637	0.042651545	0.037692156	0.080088824	0.07314701	0.059861768	0.10397846	0.12212234	0.17710234	0.20385727
a20	0.1989144	0.13311078	0.08982524	0.08184563	0.067454204	0.057142507	0.05607956	0.06953539	0.095899805	0.09257099	0.05762152
a31	0.042352766	0.041229043	0.03862027	0.03207653	0.040942274	0.052960508	0.05979787	0.1321485	0.16915205	0.21834542	0.17237476
a8	0.2120992	0.14442463	0.09777894	0.074393995	0.06758623	0.06044494	0.05423758	0.0596912	0.07915415	0.08588812	0.064301014
</S>	0.056757107	0.0548445	0.048384346	0.038610157	0.04280768	0.037013024	0.044497933	0.13585898	0.17323868	0.2407621	0.12722549
