 	l	ho	sentito	che	viene	</S>
a34	0.06357925	0.03560309	0.08693382	0.15096705	0.4096994	0.25321737
a46	0.17307934	0.09932946	0.15938167	0.11844251	0.27483407	0.1749329
a41	0.07736366	0.05866819	0.10484944	0.25439775	0.25708032	0.24764062
a19	0.13482997	0.07276911	0.10951184	0.18862985	0.2812108	0.21304841
a31	0.09308789	0.053084303	0.10711194	0.18590145	0.31442836	0.24638602
a20	0.118259795	0.11810599	0.24793263	0.15109265	0.19147211	0.17313679
a31	0.083314575	0.0457692	0.114031106	0.20445745	0.26230264	0.29012504
a24	0.08677072	0.08323358	0.23326729	0.16807929	0.23448563	0.19416353
a31	0.07869697	0.04842844	0.09466382	0.15610573	0.31320304	0.308902
a23	0.1062745	0.06626265	0.16797663	0.17623127	0.2696256	0.21362936
a20	0.13389619	0.09002751	0.115072496	0.16348778	0.26257768	0.23493834
</S>	0.1380641	0.083697915	0.10521076	0.15298223	0.26536837	0.25467658
