 	la	pasta	vuole	sale	</S>
a31	0.1826878	0.19332092	0.18335669	0.20591408	0.23472048
a15	0.22878787	0.17169209	0.19076523	0.22232886	0.18642598
a31	0.08784518	0.110561766	0.11899593	0.37543344	0.30716366
a13	0.31599313	0.22957663	0.16502428	0.14622605	0.14317995
a31	0.14213723	0.14089401	0.13296625	0.30562446	0.2783781
a6	0.24969998	0.1791661	0.1948671	0.1963039	0.1799629
a31	0.17395085	0.14646414	0.117257774	0.297304	0.26502323
a46	0.30347246	0.19905998	0.17075428	0.17597905	0.15073428
a31	0.27006873	0.18175381	0.12031377	0.2202819	0.20758176
a46	0.33144367	0.19997254	0.12561	0.1872894	0.15568434
a20	0.3449957	0.21520649	0.11757361	0.14179015	0.18043397
</S>	0.2787354	0.22861011	0.10083707	0.15678965	0.23502769
