 	deve	essere	bianco	</S>
a31	0.21906567	0.21058424	0.32941735	0.24093279
a11	0.24818973	0.22989562	0.32156232	0.20035236
a31	0.28524897	0.2713287	0.24359044	0.19983195
a37	0.29571742	0.27068442	0.23359536	0.20000279
a31	0.3048731	0.2817739	0.20541658	0.20793638
a37	0.3041424	0.26821935	0.2287071	0.19893119
a31	0.28733912	0.27046996	0.22452225	0.21766867
a20	0.24920896	0.26497975	0.2220545	0.2637568
a31	0.20735691	0.2346995	0.23605569	0.32188794
a0	0.20468967	0.22796488	0.22318126	0.3441642
a31	0.24219987	0.22267047	0.267596	0.26753366
a20	0.20030706	0.19771193	0.2505124	0.35146865
a18	0.24089122	0.2303429	0.2804318	0.24833408
</S>	0.24537343	0.2492538	0.27728757	0.22808519
