 	il	dito	si	gonfiò	</S>
a39	0.24408731	0.21587318	0.19346307	0.17956041	0.16701604
a13	0.24919032	0.17190735	0.118802145	0.24743353	0.21266666
a31	0.20091344	0.10425027	0.15559366	0.24995369	0.28928897
a20	0.3206151	0.16825658	0.19502501	0.16797942	0.14812386
a31	0.227979	0.10859295	0.16953376	0.23453476	0.25935957
a11	0.26615772	0.14815685	0.20600002	0.19751352	0.18217179
a31	0.23458403	0.12608775	0.15170273	0.22402574	0.26359975
a39	0.24228239	0.12978022	0.20611624	0.21951897	0.20230216
a31	0.21655747	0.13453871	0.13671266	0.235843	0.27634814
a41	0.3048576	0.12785582	0.15487671	0.21486872	0.19754113
a46	0.3225057	0.17065994	0.12550457	0.14868152	0.23264825
a31	0.42339346	0.19260737	0.12169828	0.11556388	0.1467371
</S>	0.38055047	0.17230481	0.10900738	0.13606136	0.202076
