 	e	che	cucino	</S>
a31	0.2584164	0.19610693	0.24055603	0.30492064
a24	0.2568039	0.20288609	0.266178	0.27413198
a31	0.3325732	0.17809092	0.20943128	0.27990463
a11	0.24510583	0.227971	0.27061638	0.2563068
a46	0.21500851	0.14853798	0.28971443	0.34673908
a41	0.20856014	0.13000219	0.28766018	0.37377745
a20	0.16593179	0.10427955	0.31456292	0.41522574
a36	0.1860412	0.11809955	0.25173226	0.44412702
a31	0.20216438	0.12080565	0.25379157	0.42323837
a46	0.2225827	0.2024258	0.25101393	0.32397765
</S>	0.25693968	0.15840617	0.26060194	0.3240522
