 	se	vieni	ogni	sabato	ti	compro	il	pane	</S>
a31	0.06701013	0.07423443	0.06596316	0.08097533	0.13920021	0.14277516	0.13840003	0.13433346	0.15710804
a29	0.12206953	0.24243858	0.19782798	0.14348523	0.08211115	0.055537134	0.074762754	0.048936736	0.032830905
a31	0.08397325	0.24135487	0.20219283	0.1373511	0.085556485	0.07385849	0.08781324	0.045510266	0.04238948
a20	0.14297688	0.24870333	0.2050963	0.14128783	0.076607965	0.063514896	0.054905448	0.035679854	0.031227475
a31	0.09729524	0.2048946	0.2028278	0.12606747	0.07103013	0.09957734	0.08520218	0.064883634	0.048221678
a28	0.09575408	0.19130902	0.19655256	0.13036264	0.07802193	0.098486766	0.090904705	0.06558533	0.053022977
a3	0.08989159	0.17872271	0.20989561	0.12008425	0.07527513	0.10511735	0.098148994	0.06977277	0.053091537
a35	0.11726723	0.14024004	0.1674217	0.09788825	0.06595519	0.13295548	0.10873005	0.096060395	0.07348174
a31	0.09474272	0.16937302	0.19373563	0.09912073	0.05789231	0.12799369	0.09900405	0.08946624	0.0686716
a20	0.09745424	0.21369736	0.2359008	0.15320973	0.067334145	0.0795711	0.06566868	0.04782204	0.039341897
a31	0.09507985	0.16591875	0.22598054	0.13178514	0.06932755	0.085283324	0.08718258	0.07233688	0.067105286
a28	0.108127356	0.15227257	0.20016663	0.10544827	0.06633177	0.12348405	0.095090635	0.08457958	0.06449915
a13	0.12294443	0.12706041	0.18770164	0.1271686	0.06988987	0.09744246	0.10102263	0.085629	0.0811409
a41	0.14991151	0.12541372	0.13634714	0.10797664	0.08857397	0.11535559	0.09847126	0.08844826	0.08950195
a28	0.12467789	0.13970943	0.1595078	0.10886755	0.117155924	0.09187049	0.10779349	0.07244377	0.07797367
a31	0.09314675	0.14751558	0.14819083	0.105280116	0.13092211	0.085251704	0.13248678	0.08007715	0.077128984
a20	0.17454183	0.1254807	0.16425538	0.12594643	0.09278744	0.08325814	0.10145858	0.072194636	0.06007692
a31	0.09030124	0.12851176	0.12893283	0.1365537	0.15060876	0.084304586	0.13602957	0.077434346	0.06732317
a24	0.18314599	0.1268597	0.15460368	0.12112868	0.10333107	0.08756676	0.1034742	0.060839117	0.059050795
a46	0.08485933	0.08853177	0.09276685	0.16232492	0.18144734	0.08974213	0.16164847	0.08373016	0.054949056
</S>	0.085623726	0.090265475	0.092084736	0.11154581	0.1911921	0.10221938	0.17682298	0.09350295	0.05674285
