 	mi	si	gonfiò	il	dito	</S>
a41	0.15224709	0.15212776	0.1574657	0.17084207	0.17373842	0.19357897
a20	0.21847777	0.21133485	0.15309174	0.14296609	0.11156987	0.16255966
a39	0.27165872	0.23306152	0.17030537	0.14333612	0.061646145	0.11999219
a31	0.32254857	0.23439407	0.17617247	0.11048402	0.0519583	0.10444247
a37	0.32091784	0.18901767	0.18508409	0.12148157	0.09649318	0.087005705
a21	0.29500538	0.19277154	0.1684164	0.13047473	0.08206018	0.13127178
a38	0.2716359	0.17067148	0.15126567	0.13529396	0.09802352	0.17310949
a18	0.28603634	0.17279454	0.16220622	0.12880573	0.09191004	0.15824716
a46	0.29317784	0.1656134	0.14619383	0.114856206	0.0930152	0.18714346
a31	0.28404468	0.18043682	0.14797536	0.09971563	0.08142315	0.20640439
a20	0.28979895	0.1541266	0.1433011	0.13831468	0.1342746	0.1401841
a46	0.35766047	0.17988421	0.14343864	0.090792544	0.08103373	0.1471904
a31	0.28367504	0.23747136	0.19611079	0.105440356	0.059568826	0.11773368
a8	0.36328575	0.17256159	0.14026472	0.11313174	0.091790974	0.11896521
a31	0.28605634	0.25423044	0.22060151	0.11671451	0.05535758	0.06703964
</S>	0.3516855	0.18710648	0.14272131	0.10806418	0.09501706	0.11540544
