 	ho	finito	di	scrivere	</S>
a38	0.16236955	0.13518435	0.09487102	0.32000804	0.28756702
a31	0.19165327	0.18619384	0.16425276	0.24300864	0.21489146
a15	0.23980527	0.17821364	0.18573967	0.25647852	0.1397629
a18	0.14528497	0.19145073	0.25035766	0.24729933	0.16560732
a31	0.27658007	0.2934911	0.15115666	0.15968414	0.11908797
a37	0.22853954	0.2031525	0.18374206	0.2050678	0.17949809
a31	0.22787613	0.24629255	0.16664423	0.17994268	0.17924443
a0	0.19942455	0.19009703	0.19804017	0.21865004	0.19378817
a31	0.14305246	0.12441526	0.2219613	0.26472434	0.24584667
a18	0.18937282	0.18828738	0.18887179	0.26201463	0.17145336
a31	0.1729803	0.11093281	0.1868883	0.28382915	0.24536945
a39	0.19857466	0.17380239	0.19070496	0.26797077	0.16894722
a20	0.2319228	0.108634815	0.13083476	0.26601946	0.26258814
a31	0.21785283	0.11918251	0.105493434	0.26459163	0.29287958
a8	0.24802864	0.16958739	0.18402275	0.21940294	0.17895828
a20	0.21878879	0.15912803	0.08769268	0.3191946	0.2151958
a31	0.23341665	0.1979967	0.06680647	0.26219085	0.2395893
</S>	0.29832578	0.18166979	0.12565078	0.19813319	0.19622049
