 	ancora	non	mi	sono	vestito	</S>
a8	0.10876211	0.12818599	0.19950524	0.1955086	0.17274445	0.19529359
a31	0.24059844	0.1940266	0.13918364	0.12925291	0.12719938	0.16973901
a10	0.4497132	0.21579358	0.1513414	0.08900197	0.054991055	0.03915874
a31	0.3478352	0.24622625	0.11061613	0.09829788	0.092110924	0.10491368
a18	0.39171818	0.2264069	0.14928377	0.10311828	0.06539876	0.06407413
a31	0.24907675	0.1983157	0.13166998	0.13274343	0.1272071	0.16098711
a20	0.36169705	0.21351986	0.1483992	0.12259397	0.083197825	0.07059204
a31	0.289438	0.16072164	0.13522519	0.15492764	0.13239354	0.12729403
a13	0.2925762	0.17400342	0.14104375	0.15797931	0.1336746	0.10072279
a35	0.25701642	0.16960241	0.14649886	0.1293577	0.15118435	0.1463402
a39	0.2562408	0.2094042	0.15747425	0.102962464	0.12369448	0.15022378
a46	0.29654306	0.23074648	0.1813751	0.09005421	0.08904849	0.11223262
a31	0.25592142	0.21341233	0.18676735	0.08988389	0.08830813	0.16570683
a20	0.32553217	0.20060135	0.13707721	0.101119496	0.12132881	0.114341
a31	0.21262388	0.20681217	0.25973856	0.11416537	0.07676585	0.12989418
a39	0.3441966	0.21193424	0.14669666	0.093329415	0.08618339	0.11765965
a31	0.17650445	0.21828048	0.29554555	0.14182419	0.083572745	0.08427255
</S>	0.3478166	0.21312802	0.14965199	0.100665055	0.07689288	0.11184545
