 	mi	si	gonfiò	il	dito	</S>
a31	0.15224709	0.15212776	0.1574657	0.17084207	0.17373842	0.19357897
a11	0.2373222	0.15923372	0.16500583	0.18968855	0.15077077	0.09797893
a31	0.23830132	0.1960357	0.18887697	0.1845268	0.10513488	0.08712437
a15	0.29517886	0.19351898	0.19586182	0.13517648	0.09134287	0.08892103
a31	0.2668974	0.1790936	0.16581102	0.14407982	0.11869969	0.1254185
a0	0.3193303	0.1926178	0.18206419	0.13383889	0.08805218	0.08409665
a46	0.2594287	0.16325107	0.15795267	0.13615543	0.1356313	0.14758079
a31	0.31183705	0.17625129	0.15948266	0.111352056	0.093571246	0.1475057
a18	0.36788914	0.19979942	0.16705568	0.10043179	0.074714206	0.09010972
a31	0.2760801	0.16241905	0.15057027	0.114178665	0.123404734	0.17334719
a24	0.38159797	0.19809952	0.1571523	0.09858592	0.070796564	0.09376775
a28	0.28545445	0.17649966	0.1611724	0.108948715	0.10075473	0.16717005
a13	0.36277658	0.17350583	0.14809664	0.092059255	0.07991016	0.14365155
a20	0.30608377	0.25172985	0.20891853	0.103781946	0.05049414	0.078991756
a17	0.27587003	0.25204453	0.22507095	0.12051827	0.04767604	0.07882031
a39	0.25846186	0.24325065	0.22649479	0.13243304	0.051644314	0.08771534
a20	0.2457148	0.2359249	0.22481464	0.14958036	0.0567173	0.08724808
a31	0.25828812	0.23997892	0.21817051	0.13180758	0.05542825	0.096326604
a41	0.36619738	0.16354838	0.13768147	0.11710574	0.09135138	0.12411556
a8	0.24847604	0.2359033	0.22579694	0.14669237	0.06419323	0.07893812
a37	0.25237602	0.23914117	0.22655083	0.14727578	0.064207986	0.07044816
a8	0.2392174	0.2305243	0.22507127	0.16680802	0.07061048	0.067768484
</S>	0.25154316	0.23939519	0.2278056	0.15064408	0.06406127	0.06655072
