 	non	ha	da	mangiare	</S>
a31	0.15771174	0.16833124	0.1883358	0.24060042	0.24502084
a20	0.16473967	0.14018117	0.17364484	0.2672719	0.25416243
a31	0.1122463	0.13900469	0.1566055	0.31304958	0.2790939
a41	0.15165174	0.16934754	0.21003497	0.27214903	0.19681673
a10	0.11526416	0.11558619	0.14102557	0.32306257	0.3050615
a31	0.10610012	0.107935965	0.12962359	0.34008628	0.31625405
a15	0.12462215	0.1193872	0.15111649	0.31959087	0.28528327
a31	0.14245987	0.12557006	0.13848205	0.26089254	0.3325955
a39	0.16039188	0.14232965	0.15365462	0.24611221	0.29751164
a37	0.20554979	0.15803853	0.16894716	0.22724624	0.2402182
</S>	0.25075606	0.16219735	0.1713038	0.20314683	0.21259598
