 	devo	pulire	l	albero	</S>
a39	0.18320332	0.21752797	0.2137357	0.15435016	0.23118281
a31	0.18293297	0.16421245	0.16539328	0.24360622	0.2438551
a35	0.44097504	0.15347663	0.14256728	0.17013659	0.092844434
a31	0.26854762	0.116145805	0.19121166	0.2240876	0.2000073
a20	0.44588825	0.15269014	0.14000463	0.1542358	0.107181236
a31	0.38970417	0.11211752	0.13022347	0.20025152	0.16770336
a37	0.42880318	0.10774884	0.14723575	0.19497836	0.12123388
a1	0.3702121	0.10965037	0.15737374	0.21917722	0.1435865
a20	0.34846267	0.14524077	0.103651986	0.20457289	0.19807173
a31	0.38786617	0.09833476	0.12135	0.21291362	0.17953558
a39	0.38800785	0.08659591	0.13253197	0.2381323	0.15473191
a10	0.3563246	0.107400715	0.12616095	0.21973807	0.19037573
a29	0.4670985	0.09398581	0.08497332	0.18687107	0.16707133
a46	0.40775117	0.10036412	0.08242977	0.20527737	0.20417754
a31	0.32067046	0.12992388	0.07984272	0.21514295	0.25441998
a20	0.44149104	0.1361138	0.12077435	0.16733903	0.13428174
a13	0.33136502	0.14346181	0.08527201	0.18449715	0.255404
a20	0.311963	0.1860219	0.0974766	0.16228782	0.24225073
a31	0.33135614	0.18784827	0.079815015	0.17810632	0.22287422
a11	0.43241754	0.14485644	0.095012955	0.16950527	0.15820776
a17	0.3093565	0.18799247	0.10251354	0.14892198	0.25121552
a20	0.37145415	0.2380058	0.113210306	0.11287513	0.16445464
</S>	0.31455347	0.24835771	0.11402459	0.11719852	0.20586573
