 	voglio	un	forno	che	vende	rustici	</S>
a31	0.106667094	0.10464693	0.10362551	0.10907475	0.11740138	0.18513708	0.27344728
a37	0.21131356	0.20493416	0.1537531	0.18589002	0.10138608	0.075325124	0.0673979
a31	0.16146345	0.14483929	0.20317411	0.20787548	0.12010896	0.08428347	0.07825519
a17	0.31842178	0.19294736	0.18561138	0.098426975	0.072106324	0.07033176	0.062154442
a20	0.16017376	0.16372985	0.22932252	0.19870958	0.085057214	0.09144922	0.07155772
a31	0.2640989	0.19698878	0.20876038	0.13180506	0.069175914	0.06969885	0.059472024
a41	0.20166743	0.16255957	0.23753655	0.15301457	0.07707515	0.09053219	0.077614576
a24	0.22818966	0.15832852	0.21580811	0.15149854	0.08545674	0.078777075	0.08194132
a31	0.2199496	0.13160817	0.18831834	0.16741744	0.104878806	0.089352965	0.09847469
a39	0.24133776	0.15385874	0.20385203	0.15972893	0.083159186	0.08398365	0.07407977
a31	0.22717488	0.17065021	0.21593912	0.13187158	0.08525339	0.08303685	0.086073935
a8	0.30286345	0.17549108	0.15735298	0.1300015	0.09303806	0.07158535	0.06966763
a26	0.266394	0.14864068	0.19005784	0.14504346	0.08377104	0.079144895	0.08694808
a23	0.29491666	0.18083936	0.13688701	0.14878507	0.10105345	0.06138912	0.076129355
a31	0.16531013	0.1218345	0.12353342	0.14683408	0.14110887	0.14108585	0.16029306
a20	0.2548878	0.20198965	0.1718887	0.13792552	0.08838811	0.072424494	0.07249577
a39	0.17663409	0.14353652	0.100805156	0.13743679	0.13010804	0.12869452	0.18278491
a11	0.1392416	0.117430076	0.10761294	0.1436073	0.13321108	0.1489939	0.20990309
a37	0.096637495	0.08961984	0.12323881	0.17661487	0.14130215	0.14801787	0.22456902
a14	0.13301224	0.108676866	0.13918376	0.17401943	0.13098948	0.13098381	0.18313439
a24	0.11502653	0.09935574	0.12736137	0.16892259	0.13069333	0.14090848	0.21773191
a28	0.1418924	0.10727639	0.117139	0.13661931	0.12302105	0.15968561	0.2143662
a20	0.12310557	0.107335046	0.11445517	0.16016778	0.14165641	0.14590257	0.20737745
a8	0.121091135	0.106712975	0.1006949	0.1458297	0.1328045	0.15665883	0.23620795
</S>	0.1709052	0.12438174	0.11498561	0.11432738	0.1154123	0.16918899	0.1907988
