 	ora	io	sto	studiando	di	di	imparare	di	diventare	maestra	</S>
a33	0.04631587	0.04423824	0.04485118	0.054388627	0.058685087	0.060305048	0.061737835	0.07466641	0.1427676	0.22718349	0.18486062
a31	0.02357128	0.023159722	0.032657754	0.06530792	0.085799575	0.08802941	0.091932215	0.09753513	0.11903359	0.16887507	0.20409825
a7	0.16164722	0.13134195	0.1634825	0.101709254	0.09779748	0.09847502	0.07863658	0.05728402	0.03993296	0.037089948	0.03260306
a0	0.048345882	0.046457347	0.061052833	0.091903694	0.12522377	0.1349585	0.1198682	0.091646545	0.0745567	0.09033349	0.11565303
a31	0.05647657	0.054406855	0.092837445	0.12070301	0.1270452	0.13346519	0.11379871	0.090159215	0.07014259	0.06509807	0.07586722
a37	0.1737108	0.13425775	0.1552993	0.09446042	0.09635764	0.10051965	0.071475305	0.055988584	0.04266369	0.04149933	0.03376753
a8	0.07830073	0.07352014	0.11387916	0.15829544	0.14175487	0.1354582	0.09218971	0.06346501	0.04902188	0.048476912	0.045637894
a37	0.053494528	0.05207723	0.06675218	0.11601049	0.14201131	0.14382339	0.12900034	0.088922314	0.07357587	0.06473089	0.069601454
a31	0.08775449	0.08104131	0.13096812	0.14487945	0.13708743	0.13123377	0.1023253	0.06889473	0.048796695	0.04030773	0.026710952
a17	0.121622995	0.101029366	0.13414711	0.10968856	0.10734328	0.110675395	0.085433304	0.07513102	0.059289753	0.0558179	0.039821364
a37	0.0682647	0.06695916	0.0614196	0.10635915	0.14413969	0.14755958	0.11831161	0.09994893	0.083380595	0.06567887	0.03797805
a31	0.10158969	0.09146532	0.09028231	0.104767695	0.12480288	0.13333869	0.11005325	0.09171005	0.07138872	0.05397805	0.026623335
a14	0.09910195	0.08838027	0.090034015	0.114509344	0.12513721	0.12888807	0.10248555	0.09103142	0.068846874	0.058032937	0.0335524
a3	0.13632903	0.118264325	0.10097817	0.10687951	0.10355213	0.10776237	0.09248974	0.08359421	0.06903936	0.049687512	0.031423617
