 	non	so	cosa	scrive	</S>
a46	0.12468737	0.12909378	0.25652987	0.2351929	0.2544961
a8	0.22379336	0.25009006	0.2387203	0.14626892	0.14112733
a31	0.27755895	0.34397715	0.13236037	0.09858007	0.1475235
a13	0.35376918	0.31091538	0.15658143	0.10271903	0.07601498
a31	0.27066702	0.31564736	0.16267613	0.10500459	0.1460049
a28	0.3122308	0.32517865	0.1435303	0.12669303	0.09236723
a31	0.30427092	0.30256355	0.13404809	0.10913434	0.14998306
a37	0.28472793	0.29987827	0.15461107	0.14622562	0.11455704
a31	0.30341697	0.280117	0.12767401	0.13081159	0.15798044
a11	0.2845822	0.24807589	0.15411994	0.16811217	0.14510986
a31	0.30632016	0.22703744	0.16085553	0.1364842	0.16930263
a20	0.32596594	0.22268157	0.14609633	0.14013444	0.16512176
a31	0.3245928	0.18084729	0.20787084	0.11898016	0.1677089
</S>	0.3513926	0.23575051	0.19334471	0.09554653	0.12396566
