 	se	avevi	visto	tempo	il	tempo	non	fossi	venuto	che	ti	bagna	tutto	</S>
a20	0.036620323	0.051234	0.044743564	0.058774788	0.057948284	0.062702395	0.06171819	0.054628316	0.055154912	0.056385633	0.09256006	0.12271124	0.12032789	0.12449044
a31	0.014777235	0.030100865	0.043106638	0.06881831	0.050593182	0.0664131	0.057723127	0.05919705	0.071958974	0.06317123	0.070137896	0.15200916	0.11824074	0.13375242
a37	0.089486994	0.09216343	0.07217645	0.07050614	0.08775098	0.099470325	0.111755796	0.09051713	0.08597858	0.051621728	0.037613705	0.049737994	0.036357272	0.024863575
a31	0.028262606	0.0624088	0.07134248	0.08328798	0.09056127	0.091668	0.08953353	0.09528305	0.071341544	0.048555396	0.048591133	0.07553306	0.092679776	0.050951336
a37	0.0665669	0.08170415	0.064200446	0.07161544	0.09682692	0.11146653	0.12534444	0.09924257	0.09209872	0.047275912	0.034368284	0.048245504	0.03725275	0.023791423
a31	0.031955022	0.057941686	0.061138127	0.088018246	0.10476957	0.11260284	0.11459865	0.09591681	0.087460354	0.041833486	0.03514717	0.073151276	0.05826114	0.03720571
a37	0.04640804	0.06589709	0.06146672	0.07537986	0.09589148	0.11256244	0.12229581	0.096764125	0.09205659	0.047206376	0.036171973	0.06130069	0.052661348	0.033937387
a18	0.05229111	0.060035933	0.06763237	0.07660194	0.10272625	0.12381212	0.14609547	0.10214524	0.077124886	0.044696447	0.03369732	0.04692773	0.04354649	0.022666728
a21	0.054882392	0.037799057	0.052440807	0.087332286	0.10854416	0.13990292	0.15980142	0.0816215	0.068031184	0.041923545	0.03318601	0.044478368	0.056306075	0.03375029
a24	0.0504884	0.037777998	0.051174305	0.08859678	0.107349716	0.14114396	0.17014024	0.08018784	0.0650793	0.04097886	0.03368623	0.04266848	0.054120246	0.036607567
a31	0.06327065	0.040677592	0.057814375	0.077257045	0.10535618	0.1205526	0.14852855	0.07441128	0.06189336	0.0498084	0.041594945	0.050021917	0.06462133	0.04419181
a14	0.031981204	0.042419374	0.05529636	0.08907206	0.09700395	0.1275979	0.13944447	0.08618655	0.076212935	0.04647629	0.03649678	0.06641813	0.061062865	0.044331115
a7	0.067439295	0.062700644	0.08844508	0.07976469	0.09362776	0.09462469	0.113640696	0.103064224	0.073621236	0.05490988	0.043056045	0.051450342	0.043087028	0.030568395
a31	0.072440624	0.0420819	0.052130524	0.094001964	0.09916361	0.130766	0.14034036	0.07325218	0.06920452	0.0447583	0.032363538	0.04838471	0.051189326	0.049922448
