 	il	cibo	vuole	mangiato	appena	lo	cucini	che	è	più	saporito	</S>
a8	0.059147667	0.058516018	0.05827612	0.05968364	0.078375995	0.066658154	0.06428543	0.08691682	0.101812415	0.109513074	0.118547305	0.1382674
a3	0.04495987	0.045491695	0.082058884	0.106996655	0.20415024	0.17601174	0.091799565	0.071175784	0.057694532	0.048142888	0.041903593	0.029614573
a31	0.07962159	0.08720064	0.1135518	0.12386899	0.22108214	0.115848094	0.078762576	0.047609013	0.0301251	0.028511478	0.043569982	0.030248683
a7	0.17356035	0.10590278	0.059852414	0.05677449	0.19165263	0.1275383	0.12992385	0.05843964	0.029513823	0.022670025	0.020148763	0.024022926
a20	0.06803939	0.05731487	0.10781283	0.12608987	0.24992792	0.10943487	0.082226396	0.049862564	0.032563213	0.03137266	0.051025014	0.034330335
a24	0.13094988	0.13303182	0.11788465	0.07088583	0.17131652	0.09085045	0.096090965	0.0636832	0.03353158	0.02733317	0.028294632	0.03614731
a31	0.08686872	0.093646884	0.14002863	0.09478782	0.18643719	0.089735195	0.11057201	0.05476619	0.031642407	0.029343816	0.037558302	0.04461282
a20	0.144527	0.10809057	0.08363837	0.06364405	0.14003627	0.123580776	0.14661501	0.06194507	0.03602817	0.027593452	0.026585696	0.03771551
a31	0.08163333	0.08155821	0.14252155	0.08853543	0.18980066	0.10886017	0.113673404	0.057492465	0.03103995	0.026584106	0.04249185	0.03580881
a28	0.12559299	0.103083625	0.094043665	0.063850954	0.13386886	0.13510847	0.1426444	0.06547152	0.037125446	0.027604502	0.030205518	0.041400015
a31	0.07931986	0.073508404	0.1275234	0.0905271	0.19073123	0.12475508	0.11082717	0.053687893	0.034391005	0.02959955	0.05036626	0.034763116
a3	0.11939934	0.09610227	0.08881954	0.055419557	0.14750741	0.14284763	0.132741	0.07275999	0.04003421	0.028886266	0.034135852	0.041346893
a31	0.0756611	0.064484514	0.086200505	0.08128061	0.23008199	0.115651235	0.10317559	0.060713243	0.045796096	0.045037363	0.05322451	0.03869319
a35	0.12883806	0.09803919	0.08739088	0.04377976	0.15963727	0.12942916	0.11796679	0.08010036	0.04784522	0.03183454	0.037642006	0.037496794
a31	0.09230652	0.07489914	0.0792426	0.07266996	0.18916054	0.104338795	0.11666528	0.07363598	0.053548984	0.05112896	0.050955262	0.041447937
a20	0.13184877	0.09969396	0.10188908	0.051662497	0.13662702	0.10874799	0.11196714	0.080234535	0.05771947	0.040900808	0.043132827	0.03557587
a0	0.12819652	0.0954753	0.07774221	0.057000954	0.15011467	0.104021035	0.10770265	0.08604652	0.056015253	0.042625085	0.054756418	0.040303435
a31	0.069624946	0.061031982	0.047493618	0.05944227	0.20071279	0.14828084	0.08150311	0.08549859	0.07288972	0.06577452	0.05742765	0.05031993
a38	0.13913764	0.10341174	0.10373299	0.057845496	0.10827437	0.09851078	0.115098074	0.08154525	0.06141596	0.04664551	0.04452604	0.039856117
a8	0.081600465	0.07733324	0.060057666	0.05576154	0.13129114	0.12703292	0.08672138	0.102037534	0.09412366	0.07109671	0.061762545	0.05118115
a31	0.07128777	0.06721884	0.052344296	0.050858676	0.15673932	0.117959104	0.08682175	0.09809907	0.10071107	0.07837397	0.07682625	0.042759836
a46	0.11904773	0.09875184	0.090989925	0.08913464	0.12067594	0.106938764	0.07781767	0.07202665	0.05522153	0.05138198	0.07561256	0.042400796
a31	0.06338169	0.06146542	0.053396776	0.049529884	0.0906669	0.09498301	0.11545214	0.13646872	0.12671772	0.09688444	0.07568318	0.03537013
</S>	0.12918682	0.104796775	0.090105556	0.07586852	0.1122598	0.11227025	0.07833906	0.0669298	0.05274289	0.050055508	0.08511144	0.042333603
