 	lo	sentii	che	arrivò	</S>
a11	0.17564282	0.17311244	0.22229981	0.24237426	0.1865707
a31	0.12620309	0.30965427	0.25141585	0.17926577	0.13346104
a28	0.2964955	0.39507356	0.13393588	0.094727665	0.07976737
a37	0.21165049	0.31247595	0.20959459	0.16236725	0.10391175
a20	0.28685886	0.30031073	0.19311559	0.11949419	0.10022063
a31	0.28080165	0.29301158	0.20872603	0.118247695	0.099213
a1	0.31645507	0.31793752	0.18669862	0.086661	0.0922477
a0	0.18473202	0.2789592	0.2605439	0.12072158	0.15504329
a17	0.1989655	0.3055448	0.2540977	0.10630164	0.13509037
a31	0.23992446	0.27725255	0.23681144	0.10617874	0.13983278
a0	0.21256538	0.33041856	0.20857993	0.13178511	0.11665102
a46	0.2106107	0.26193157	0.23314005	0.12567608	0.16864167
a31	0.22833858	0.27350783	0.22650942	0.12034919	0.15129492
a18	0.1662778	0.21248983	0.21887074	0.20388028	0.19848137
a31	0.20754679	0.22618678	0.20435092	0.2259357	0.13597985
a39	0.2002801	0.18108904	0.1823686	0.20398384	0.23227842
a31	0.21044266	0.1963037	0.19165193	0.27352172	0.12807997
a46	0.24182965	0.18906683	0.17310663	0.19437358	0.20162337
</S>	0.19746763	0.18285955	0.18977833	0.29881	0.13108441
