 	non	ho	scritto	mai	una	lettera	al	mio	fratello	</S>
a31	0.06509944	0.06476477	0.064487934	0.06412102	0.05920572	0.06527723	0.115407385	0.14879142	0.17106743	0.18177767
a37	0.15915708	0.11900495	0.13874184	0.107343964	0.052521862	0.059917014	0.071983695	0.09586466	0.10393364	0.09153121
a31	0.116442434	0.070414536	0.08689269	0.0784992	0.06432171	0.08215075	0.09320403	0.114345275	0.15189324	0.1418361
a20	0.25539187	0.14287926	0.15138596	0.08794971	0.05540819	0.055052683	0.056563526	0.062472552	0.06911381	0.0637824
a31	0.18405771	0.1322138	0.1432241	0.09547176	0.064804405	0.07119613	0.059891153	0.07167991	0.09398783	0.0834732
a13	0.19058686	0.12976864	0.12739743	0.08769595	0.06192977	0.062164918	0.05818437	0.07703092	0.10834677	0.096894294
a31	0.1973224	0.16029346	0.13940836	0.096199006	0.083316535	0.08731033	0.06042522	0.054515302	0.06082516	0.06038426
a20	0.21478663	0.17727174	0.111266136	0.07464402	0.057520866	0.0664034	0.05208755	0.06510326	0.09550576	0.08541068
a17	0.21439907	0.13434772	0.119159	0.116299205	0.10599587	0.08701109	0.058069587	0.053885177	0.055205323	0.055627905
a20	0.18625048	0.16191305	0.13227534	0.07589545	0.06462237	0.07558323	0.07028916	0.0680664	0.07734817	0.08775641
a31	0.18747811	0.15915562	0.10349886	0.06487343	0.055300754	0.06823226	0.06878118	0.07908513	0.10495649	0.10863817
a20	0.23608184	0.1908239	0.09794806	0.062932335	0.06173269	0.07099827	0.051519647	0.058969237	0.08652993	0.08246401
a31	0.21113126	0.16153532	0.11175548	0.06807428	0.074671626	0.09065339	0.0712996	0.06288742	0.0734226	0.074569054
a3	0.24106337	0.19967392	0.09481718	0.05182375	0.061556872	0.06654742	0.048384238	0.059330534	0.08969293	0.08710987
a8	0.1943574	0.16060098	0.113752246	0.070267074	0.051384445	0.067961246	0.07004339	0.0774247	0.09412099	0.10008761
</S>	0.10957162	0.10108366	0.06419818	0.056451138	0.028089168	0.041511964	0.06165953	0.12995273	0.20523483	0.2022472
