 	io	non	so	cosa	è	da	scrivere	</S>
a48	0.06593096	0.06877148	0.10876687	0.0934845	0.10342373	0.1143106	0.32542077	0.11989113
a31	0.071849495	0.08292354	0.1667414	0.15703875	0.15144016	0.13693133	0.14878158	0.0842938
a14	0.1697108	0.112419315	0.20442624	0.06775649	0.08935664	0.11346808	0.15811494	0.08474746
a37	0.09874289	0.09150043	0.12771577	0.12335016	0.14185473	0.14137058	0.15180461	0.12366083
a10	0.11843632	0.11092884	0.13942842	0.12142342	0.12794806	0.12046649	0.12966782	0.1317006
a31	0.12220532	0.10887888	0.13176113	0.11963138	0.12522507	0.11601966	0.12259146	0.15368709
a28	0.10777078	0.06230652	0.15711714	0.08800853	0.11773919	0.13382572	0.16927229	0.1639598
a31	0.090081304	0.07257774	0.07262643	0.10677441	0.15648524	0.14668374	0.15002812	0.20474301
a42	0.060767386	0.04038874	0.12698074	0.07522955	0.12658736	0.1531698	0.22835658	0.18851982
a23	0.08268786	0.063204415	0.097277224	0.09232384	0.116816595	0.11885698	0.18412143	0.24471161
a8	0.08779453	0.09144312	0.13980186	0.11208489	0.10730133	0.1023398	0.18370743	0.17552705
</S>	0.09537071	0.11587493	0.15084463	0.11921515	0.1175287	0.12802614	0.18659855	0.0865411
