 	se	avevo	visto	nuvole	avevo	capito	che	stava	per	piovere	</S>
a31	0.06794963	0.06759	0.06728838	0.06722581	0.06728006	0.06724071	0.08039351	0.12654008	0.13133311	0.13767941	0.119479306
a17	0.111797035	0.09761771	0.10149863	0.1249928	0.11720138	0.106573135	0.07880421	0.042807885	0.07790327	0.08078141	0.06002257
a31	0.10515593	0.10448649	0.09584764	0.14325364	0.13399327	0.106459126	0.06457603	0.027749138	0.060724203	0.09986555	0.057888955
a17	0.17670289	0.16677324	0.15914275	0.15348782	0.14531356	0.06974584	0.03530679	0.025442025	0.021719063	0.029156873	0.017209137
a20	0.12499336	0.14318918	0.12489846	0.14022714	0.17344913	0.07790051	0.059270024	0.035411533	0.0436943	0.03613174	0.040834587
a8	0.1282097	0.15408956	0.12103429	0.13629481	0.15962012	0.08645094	0.059014913	0.032548804	0.043389846	0.039996225	0.039350804
a20	0.13955894	0.16473266	0.12868537	0.10922077	0.17242041	0.06455259	0.044105202	0.034932446	0.03325331	0.055984844	0.052553423
a31	0.12701498	0.15056847	0.11587167	0.13142802	0.15205169	0.08229487	0.056433413	0.03242662	0.043832295	0.05442948	0.053648528
a46	0.14765555	0.16779058	0.13406157	0.12966236	0.16162328	0.065120034	0.039402016	0.025405023	0.03423041	0.050954804	0.04409435
a31	0.13475294	0.14768673	0.11497998	0.11026424	0.13423218	0.07161866	0.057115138	0.045497652	0.054206792	0.049278446	0.08036732
a35	0.15401828	0.15799917	0.13434917	0.12326792	0.14372952	0.06904008	0.043667164	0.030655416	0.03879903	0.053726904	0.05074734
a33	0.13049936	0.15965286	0.118168026	0.10948436	0.14874507	0.067528054	0.052035183	0.041436657	0.04877823	0.050690155	0.07298207
a8	0.14987184	0.17902704	0.12984835	0.11324163	0.15843067	0.062159717	0.04046586	0.032942954	0.033772696	0.05074969	0.049489517
a24	0.14321393	0.15609531	0.13282582	0.11293284	0.14867377	0.08811642	0.05305052	0.027281944	0.031657834	0.07184268	0.03430892
a27	0.12456073	0.12560813	0.11855932	0.11318429	0.12370004	0.09274235	0.07001354	0.038557388	0.044461556	0.08808409	0.060528547
a31	0.109766304	0.114970595	0.10966257	0.12031087	0.11888038	0.10048342	0.06768239	0.03581764	0.048434604	0.108480506	0.06551071
a10	0.13237503	0.13789308	0.13148347	0.15929052	0.1398217	0.084784605	0.061617777	0.037136108	0.045484666	0.034044445	0.03606863
a11	0.13179216	0.13701351	0.13140714	0.14443453	0.13863012	0.07489287	0.048101865	0.027857494	0.03671382	0.07564742	0.053509023
a24	0.12792383	0.12105281	0.12199237	0.149986	0.12265707	0.08262844	0.05489565	0.02908313	0.04381273	0.080035605	0.0659324
a28	0.12665552	0.1317621	0.124340236	0.13485353	0.13310906	0.08045622	0.051069546	0.030216059	0.039357144	0.08176223	0.06641831
a31	0.13585602	0.12295587	0.124379285	0.15160057	0.11948673	0.08230765	0.05365579	0.024869807	0.037882853	0.08067332	0.066332154
a46	0.1422709	0.15723723	0.1314552	0.12496005	0.11714983	0.0862452	0.063410856	0.040861163	0.04817231	0.037960805	0.050276417
a31	0.10441952	0.11556265	0.10690184	0.10656704	0.11809312	0.07975108	0.058957957	0.04654069	0.06478569	0.14477359	0.05364683
a26	0.14854188	0.14903452	0.13256064	0.11897768	0.120982304	0.06881573	0.05428148	0.045240734	0.047921766	0.04460657	0.06903668
a31	0.098134615	0.09793553	0.097084716	0.09744829	0.095295794	0.06929618	0.067424	0.067130834	0.08117321	0.14024782	0.088828996
a46	0.15958601	0.16463912	0.13412295	0.10749654	0.11652582	0.06761646	0.055036895	0.04478987	0.047877356	0.04863577	0.05367318
a20	0.08927219	0.092826985	0.09032015	0.08869198	0.09271641	0.074352354	0.0740215	0.06913402	0.0890904	0.1565122	0.08306183
a35	0.08748417	0.08753484	0.08677278	0.08568955	0.08689588	0.0751017	0.07668161	0.084461644	0.091149956	0.14334196	0.09488598
</S>	0.087060146	0.08785391	0.08702612	0.086405486	0.08758327	0.07807847	0.07725576	0.08024959	0.0940469	0.14466631	0.089774035
