 	non	ho	dove	d	andare	</S>
a20	0.112148926	0.11898686	0.117742024	0.15371187	0.22822493	0.26918536
a31	0.25671953	0.15622328	0.15837151	0.19841821	0.1360526	0.094214864
a37	0.4197119	0.18808174	0.14317666	0.11715804	0.07762924	0.054242425
a31	0.26686624	0.12981756	0.15823685	0.15427089	0.17390394	0.11690448
a29	0.32684386	0.1700133	0.16125062	0.1541588	0.11286324	0.07487019
a41	0.24918087	0.13222483	0.13428558	0.154317	0.1917339	0.13825782
a31	0.23957425	0.14178208	0.1466058	0.16678666	0.16190732	0.14334385
a18	0.2845618	0.16434604	0.14824009	0.17152813	0.13262911	0.0986948
a31	0.25367054	0.16783309	0.15028907	0.12607706	0.16198952	0.14014079
a39	0.2655672	0.19385466	0.12946771	0.16591853	0.13184883	0.1133431
a31	0.24803866	0.20535176	0.17481211	0.10011284	0.14556685	0.12611781
a8	0.32161647	0.25153506	0.16797225	0.08736847	0.08491554	0.08659221
a31	0.22511445	0.20400776	0.1839215	0.1668133	0.12190863	0.0982343
a8	0.30074874	0.24720114	0.2017011	0.11232903	0.063088305	0.074931666
</S>	0.22072041	0.21268667	0.19362001	0.16992931	0.111460395	0.09158327
