 	non	ci	dimentichiamo	mai	</S>
a31	0.24246103	0.18569043	0.24253134	0.18602826	0.14328896
a20	0.2097519	0.21140948	0.23505892	0.16220103	0.18157865
a31	0.17001995	0.25499973	0.2738012	0.14372654	0.15745254
a11	0.22987346	0.2503024	0.21247858	0.16752812	0.13981742
a20	0.22550932	0.24106728	0.21940365	0.16968359	0.14433616
a31	0.22302897	0.2260093	0.20350334	0.18349856	0.1639599
a11	0.17355071	0.2363585	0.23053412	0.18509036	0.1744664
a31	0.20893456	0.22025736	0.21007997	0.20042294	0.16030514
a18	0.17369331	0.2257824	0.22720887	0.19266628	0.18064916
a42	0.19106747	0.19989902	0.19748056	0.21234965	0.19920331
a31	0.22367427	0.17160451	0.16933456	0.21517742	0.2202092
a18	0.18472211	0.22331549	0.20737554	0.19402918	0.19055764
a31	0.16718423	0.19819604	0.2001302	0.2223152	0.21217434
a39	0.2129282	0.17940061	0.18522222	0.21262679	0.20982225
a31	0.17006935	0.1822873	0.18726261	0.23269346	0.22768724
a20	0.24559133	0.1505679	0.17220621	0.21338707	0.21824743
a39	0.17692575	0.16096634	0.16575909	0.24104339	0.25530538
a31	0.25960723	0.14592738	0.14845769	0.18824074	0.2577669
a14	0.2903816	0.13232362	0.1756866	0.17522942	0.22637871
a46	0.263501	0.14770044	0.15702385	0.17549816	0.25627658
a20	0.3518245	0.16498709	0.20736966	0.1398765	0.13594224
a31	0.39397985	0.1420718	0.22229415	0.1253216	0.116332576
</S>	0.25168338	0.15923478	0.1927418	0.16210164	0.23423837
