 	ieri	abbiamo	deciso	di	andare	al	mare	tutti	ma	mio	fratello	non	voleva	venire	</S>
a31	0.04761875	0.047685716	0.047599748	0.050665855	0.075941354	0.074351214	0.07385914	0.07431061	0.057513617	0.056418113	0.049763806	0.06094011	0.090069905	0.088708475	0.10455364
a46	0.03933389	0.037634794	0.059771925	0.06420466	0.06897571	0.09913481	0.08411553	0.09339829	0.11972592	0.123091936	0.10124417	0.05357046	0.023626028	0.016555792	0.0156161515
a31	0.026002612	0.02679188	0.034287922	0.062018536	0.06715517	0.087891415	0.12356462	0.14515296	0.11531721	0.1342744	0.094398186	0.03919605	0.010746476	0.015030604	0.01817198
a46	0.055665694	0.043383915	0.050154574	0.045374494	0.0406205	0.05204906	0.12220468	0.12490927	0.10537407	0.14126489	0.1060592	0.056545272	0.028388007	0.014275494	0.013730913
a8	0.036919422	0.031345326	0.032525867	0.04957974	0.05583415	0.07985021	0.101199925	0.13478853	0.15297748	0.15808462	0.07857708	0.037899002	0.016815469	0.016905768	0.016697416
a31	0.038975243	0.034159996	0.024765862	0.041330654	0.048783608	0.07729561	0.14338918	0.15625142	0.116672374	0.13719855	0.093386285	0.042758297	0.015883697	0.014674007	0.01447519
a28	0.04759501	0.03776399	0.05256999	0.052203353	0.052219253	0.08699663	0.10155029	0.104247056	0.12151599	0.1380105	0.10113505	0.056445412	0.021413751	0.013473733	0.012860036
a8	0.050999414	0.036335588	0.046756957	0.050564382	0.053399563	0.048435662	0.08577488	0.11055262	0.13369499	0.13867474	0.09826936	0.070488855	0.026619421	0.025359442	0.024074165
a31	0.046995476	0.039632346	0.026489398	0.038802594	0.042486496	0.0639022	0.1582151	0.1880786	0.11244793	0.123252094	0.07161703	0.034927998	0.01869747	0.017330533	0.017124677
a11	0.05191935	0.041150134	0.04447956	0.050795972	0.05144119	0.08734173	0.11024877	0.121845126	0.11402397	0.12870765	0.09453768	0.05412659	0.02200345	0.014017356	0.0133614745
a31	0.06138215	0.04569423	0.05727564	0.05373187	0.052155394	0.048945982	0.06814141	0.084584855	0.1192575	0.12981237	0.10804695	0.08219829	0.034195177	0.028010687	0.02656753
a11	0.06042282	0.05165569	0.03468539	0.047368914	0.05172823	0.073903844	0.12297114	0.13229205	0.10712139	0.1339269	0.085769914	0.04332801	0.022391295	0.016043188	0.016391248
a39	0.059193294	0.047221966	0.060672913	0.059195913	0.05604937	0.048369583	0.06637786	0.080095574	0.11047438	0.1261251	0.10890356	0.081779815	0.034420293	0.031414755	0.02970558
a31	0.056366764	0.038517505	0.036549974	0.055042952	0.05625729	0.054979965	0.07813182	0.11212584	0.13364272	0.14122853	0.098017916	0.058159262	0.023833986	0.028705971	0.02843948
a8	0.06615966	0.05642089	0.038390554	0.046510488	0.05152057	0.0815319	0.12444807	0.13934478	0.09718932	0.116120055	0.0797211	0.042559676	0.025927018	0.016711704	0.017444251
