 	il	vino	buono	deve	essere	invecchiato	</S>
a24	0.15824705	0.1712849	0.15961473	0.07877119	0.086800165	0.17978406	0.16549787
a46	0.151622	0.09495946	0.08292748	0.1209035	0.13289544	0.26719847	0.14949368
a31	0.12989765	0.06424596	0.067125954	0.16713594	0.22218229	0.1898296	0.15958263
a17	0.29447055	0.13275985	0.13338648	0.1451495	0.13279232	0.099702135	0.06173915
a37	0.13735779	0.07093707	0.06840162	0.20119946	0.23486549	0.1341787	0.15305991
a31	0.16935687	0.07105448	0.079325594	0.21139115	0.2100168	0.11345422	0.14540087
a39	0.18996651	0.12725432	0.12949853	0.1885213	0.19859104	0.084161624	0.08200653
a31	0.1813382	0.06596643	0.062432773	0.19004463	0.22834378	0.123684615	0.14818959
a37	0.23216861	0.108617485	0.10111331	0.16693825	0.1816432	0.11207948	0.09743964
a31	0.2224904	0.07086765	0.063181125	0.15894711	0.2159885	0.13166972	0.13685545
a46	0.28295562	0.09633744	0.08065311	0.13335963	0.14235692	0.14185613	0.12248112
a31	0.27155453	0.1500863	0.13391316	0.08738516	0.093726054	0.16496475	0.09837009
a46	0.37245178	0.114141606	0.08050345	0.07101626	0.106884554	0.14426126	0.11074108
</S>	0.27631757	0.16321734	0.1303414	0.0810067	0.06901091	0.19602744	0.08407872
