 	non	ha	che	li	aspettiamo	</S>
a46	0.13729535	0.17458929	0.19952728	0.19419041	0.16266116	0.13173638
a31	0.11295309	0.13683875	0.17700802	0.15733175	0.17853412	0.2373342
a15	0.16994648	0.14371955	0.14654273	0.13619189	0.25465912	0.14894024
a31	0.09947717	0.12675796	0.14784615	0.14596885	0.22575425	0.25419557
a28	0.21200849	0.16819192	0.16954058	0.14317565	0.20209305	0.10499031
a20	0.11290663	0.15313274	0.19993113	0.19183584	0.19427145	0.1479222
a11	0.13800849	0.15313236	0.21262984	0.18356	0.19095232	0.121716924
a31	0.13878009	0.15280132	0.21052642	0.17230089	0.18816882	0.13742244
a11	0.16788173	0.14825882	0.18955909	0.18092139	0.14497237	0.16840653
a31	0.16839933	0.13437358	0.16493148	0.16166154	0.16659313	0.20404096
a46	0.1495666	0.14100683	0.19699338	0.17823067	0.15379888	0.18040368
a31	0.19364162	0.14831813	0.16437016	0.15437184	0.1379375	0.20136069
a11	0.13044365	0.13550046	0.19025582	0.17405134	0.19485332	0.17489545
a31	0.16155039	0.13916951	0.15417486	0.15190247	0.20159101	0.19161168
a11	0.13534634	0.13846453	0.19466558	0.17686868	0.1894666	0.16518828
a46	0.16590905	0.13804063	0.17557459	0.1693737	0.21625349	0.13484843
</S>	0.13943745	0.16765657	0.2143389	0.16781297	0.22071257	0.090041526
