 	sto	e	cucino	</S>
a31	0.20114116	0.21546435	0.22320676	0.36018774
a20	0.21275525	0.1870939	0.28319246	0.3169584
a31	0.21464105	0.19324368	0.2765392	0.31557605
a37	0.19745955	0.1818782	0.28768143	0.33298084
a18	0.20725685	0.18840973	0.28819707	0.31613636
a31	0.1998009	0.20589338	0.2881148	0.3061909
a20	0.1598838	0.16650909	0.29962197	0.37398514
a31	0.1317024	0.12645815	0.3328626	0.40897688
a28	0.1173388	0.13862054	0.32099354	0.42304716
a33	0.15414776	0.12570931	0.2718284	0.44831455
a31	0.19512194	0.15781386	0.28131223	0.36575198
</S>	0.14527096	0.140413	0.25227094	0.4620451
