 	i	bambini	piccoli	non	si	vestono	da	soli	</S>
a8	0.095200345	0.09467552	0.0950114	0.09525631	0.09682138	0.09661202	0.10569649	0.15388118	0.16684534
a13	0.09586664	0.063620515	0.09648239	0.123759754	0.1628028	0.14065441	0.12308134	0.101704195	0.09202787
a0	0.16038892	0.067068964	0.10822972	0.12372842	0.16569209	0.13520077	0.08143288	0.07708822	0.081170045
a31	0.17472365	0.08041991	0.14665423	0.13872738	0.14994591	0.118676454	0.06599101	0.05569607	0.069165364
a18	0.28829443	0.14604138	0.14879785	0.136599	0.11024584	0.06740576	0.03124276	0.036336116	0.035036862
a31	0.17067315	0.087022476	0.14920092	0.13761355	0.1469062	0.11434301	0.06434947	0.055299733	0.074591465
a28	0.2728604	0.13525556	0.15953267	0.14705585	0.110333845	0.0707871	0.03316182	0.037141588	0.03387111
a20	0.16413483	0.10073216	0.15908803	0.14152643	0.13944958	0.10400993	0.062357098	0.058371402	0.07033052
a31	0.19876361	0.11741129	0.16300827	0.14898053	0.13122551	0.0908728	0.05608987	0.04414163	0.049506485
a7	0.23255996	0.11514869	0.18192367	0.16293712	0.11737646	0.07875056	0.037190255	0.03792141	0.0361919
a38	0.14277767	0.11128578	0.17892878	0.15401478	0.13484338	0.09179657	0.061942484	0.058614276	0.06579634
a24	0.15629268	0.10258973	0.17289533	0.15200973	0.14079712	0.095405705	0.058419246	0.05720547	0.064385034
a46	0.15136847	0.10384443	0.16636692	0.15753569	0.14543363	0.09660098	0.06038281	0.05848502	0.059982058
a31	0.12525357	0.082651794	0.1916364	0.16739146	0.13761681	0.09794299	0.06505067	0.04471945	0.0877369
a38	0.19352612	0.13176079	0.19263136	0.14514293	0.10616669	0.0807995	0.0512793	0.061925087	0.036768198
a31	0.1469361	0.11529011	0.17351004	0.152902	0.12733705	0.090858676	0.063497566	0.059871316	0.069797106
a13	0.17657927	0.13439107	0.19667083	0.1370522	0.10635509	0.085403755	0.05675136	0.068787016	0.038009368
a31	0.14628571	0.13843988	0.16633853	0.14472875	0.11633288	0.08625912	0.07249075	0.067060225	0.062064093
a8	0.17408168	0.14420989	0.18207018	0.12652677	0.10386698	0.08952536	0.06437287	0.07737501	0.03797136
a20	0.15885569	0.17394352	0.16059509	0.1320287	0.109208524	0.08395898	0.06615516	0.0536306	0.061623715
a31	0.13015257	0.12044556	0.15450142	0.15926756	0.12961188	0.096168	0.088004634	0.06419407	0.057654355
a15	0.16663907	0.14705682	0.15469502	0.114747085	0.104464464	0.09702449	0.08242921	0.091346	0.04159786
a31	0.16422968	0.17616025	0.1468562	0.11695161	0.101992175	0.07939769	0.06325352	0.064305015	0.086853825
a20	0.15941073	0.14517649	0.114267	0.12610625	0.12446992	0.10769553	0.09398331	0.06857815	0.060312577
a39	0.17987432	0.17972346	0.09110025	0.08827212	0.100250855	0.09379572	0.08265212	0.081298076	0.1030331
a31	0.17934671	0.18037614	0.10257818	0.094507955	0.088056505	0.079798765	0.07922692	0.09687296	0.09923589
a8	0.18992679	0.17059991	0.08566622	0.10129873	0.12425333	0.10534252	0.07793003	0.060296614	0.08468586
a31	0.17058818	0.17600259	0.101202235	0.09703267	0.08379048	0.07522713	0.08107994	0.13441885	0.08065796
a37	0.18514916	0.17160934	0.10578122	0.10811808	0.10816254	0.09400869	0.072609864	0.058187637	0.0963735
a20	0.14522974	0.14474721	0.08633674	0.10247328	0.08132474	0.072413355	0.09700196	0.14110698	0.12936594
a8	0.14410357	0.14405769	0.08507899	0.10730272	0.09564263	0.07827466	0.09106833	0.1396402	0.1148312
a20	0.16074128	0.16345437	0.09249229	0.09623439	0.09360249	0.08393507	0.08938383	0.13711014	0.08304612
a31	0.13130039	0.13073668	0.10250799	0.12059046	0.10274784	0.08062199	0.08568601	0.1258068	0.12000187
</S>	0.2150888	0.19322583	0.08043639	0.090362914	0.102017425	0.08970613	0.074778005	0.0663183	0.08806612
