 	pure	che	ti	ho	visto	una	volta	solamente	non	ti	dimentico	mai	</S>
a38	0.095031	0.07409497	0.07358789	0.07111188	0.07019902	0.06897551	0.073205836	0.067932524	0.06809424	0.06819979	0.06783759	0.07931642	0.122413255
a31	0.10696514	0.12474172	0.1123286	0.115769334	0.09663762	0.081429385	0.08572035	0.048236914	0.060135413	0.032302156	0.056530263	0.035203986	0.043999106
a21	0.21172558	0.15450935	0.1462084	0.122950815	0.08498145	0.05016685	0.05805927	0.050977524	0.054809798	0.035166096	0.014824363	0.007698867	0.007921744
a24	0.09738276	0.123756275	0.13962427	0.12600389	0.104812056	0.071257606	0.090435416	0.057843912	0.07244364	0.037802845	0.028288513	0.02527211	0.025076747
a31	0.12804815	0.14678882	0.15613653	0.12844677	0.09961001	0.060213864	0.06792839	0.054674745	0.066711396	0.041150928	0.020353926	0.015207617	0.0147289075
a17	0.19406064	0.13649248	0.13393179	0.109959126	0.07728502	0.056706805	0.070666045	0.062053513	0.06576568	0.050111063	0.01940848	0.011700556	0.011858761
a31	0.11760584	0.13673414	0.14112695	0.1218634	0.09857322	0.07487692	0.08129302	0.061057713	0.06483826	0.035758708	0.024223367	0.021001203	0.02104727
a20	0.1627826	0.1414452	0.13631476	0.11546421	0.082554534	0.058761057	0.059177656	0.07201168	0.07850683	0.0548093	0.01816956	0.010039955	0.0099625485
a13	0.11985827	0.12910122	0.13645421	0.1134196	0.09034618	0.06846364	0.06758915	0.09357871	0.07735924	0.058785133	0.019582745	0.014397521	0.011064357
a17	0.11712544	0.10640724	0.11120413	0.1041334	0.08917169	0.07844881	0.1075639	0.08988308	0.075568415	0.05455	0.024510527	0.020561248	0.020872094
a8	0.12285421	0.12011294	0.12333143	0.11184181	0.091963984	0.07770548	0.0963279	0.073722444	0.07448533	0.048876703	0.021314695	0.017974805	0.01948825
a31	0.15011571	0.11889894	0.12317477	0.107496485	0.085601084	0.06951181	0.10650459	0.059397787	0.06964733	0.048177604	0.020931846	0.018530475	0.022011526
a39	0.1212207	0.13270944	0.123211764	0.117032535	0.09492807	0.07715762	0.056805547	0.0981522	0.07668223	0.054828543	0.024342904	0.013189298	0.009739105
a31	0.11388432	0.12763909	0.12481164	0.1221493	0.09955127	0.0746734	0.07999697	0.08490825	0.07495019	0.04628428	0.019483631	0.0154290525	0.01623856
a37	0.10634689	0.13094734	0.12775484	0.121494986	0.09658375	0.07021871	0.061713956	0.10132336	0.084641285	0.05209871	0.023297727	0.013267395	0.010311041
a8	0.10184396	0.11035891	0.111144125	0.112142034	0.10210153	0.08270302	0.08537939	0.10436774	0.08228963	0.051963158	0.022060335	0.017383216	0.016262952
a31	0.16318575	0.11587103	0.11036144	0.09227207	0.07451624	0.059382923	0.09211755	0.07484277	0.07525636	0.07576601	0.019054726	0.021703577	0.025669534
a8	0.086106576	0.09333397	0.10129516	0.112775624	0.10500982	0.09985594	0.07350005	0.11158374	0.08772613	0.05338604	0.031669762	0.024682244	0.019074993
a23	0.12214156	0.100489594	0.10027831	0.09105615	0.08236461	0.06574792	0.09962239	0.09189841	0.08936151	0.091288	0.02150364	0.019173592	0.02507423
a8	0.12941602	0.10031381	0.09069343	0.08697156	0.081796244	0.07761034	0.08285999	0.079190984	0.07966338	0.07872777	0.049814798	0.02611069	0.036830984
a20	0.15510641	0.11389988	0.0982538	0.08998639	0.07885915	0.06853461	0.077853754	0.072188176	0.07368106	0.07188751	0.041432284	0.023235079	0.035081945
a31	0.13923387	0.10739945	0.090902746	0.08678639	0.07846862	0.07994454	0.07745807	0.072031826	0.07291933	0.0699376	0.038859095	0.037438944	0.048619535
a28	0.10722407	0.09044524	0.100647286	0.103131	0.09627793	0.09121692	0.08233905	0.10726939	0.076916	0.05857327	0.029716004	0.03005638	0.026187494
a31	0.17420626	0.11125677	0.09294933	0.086058274	0.074804895	0.06797088	0.078973986	0.06921399	0.06940891	0.068350285	0.032379214	0.026094757	0.048332434
a46	0.1075763	0.09323779	0.10211701	0.10171202	0.094870046	0.08563089	0.08194446	0.10553489	0.07610437	0.0642568	0.02718226	0.030522535	0.029310664
a38	0.15840235	0.09803979	0.089073956	0.084630795	0.07838067	0.070012376	0.08820415	0.078269675	0.078130215	0.078936815	0.039198607	0.024611713	0.034108933
a13	0.14191273	0.087439425	0.08198788	0.08008594	0.07713967	0.075895816	0.08617354	0.07618479	0.07616601	0.076940104	0.056031566	0.032900617	0.051141884
a31	0.1558063	0.092993096	0.08329505	0.08010058	0.07514568	0.07291052	0.08338685	0.073165655	0.073254965	0.07364194	0.04776398	0.031971592	0.056563783
a17	0.10481018	0.08756574	0.09731157	0.101756506	0.09549886	0.09398333	0.086949006	0.10496365	0.07577767	0.058134776	0.031126387	0.03290211	0.029220212
a31	0.17553207	0.0996334	0.0880624	0.0829738	0.0755228	0.0678106	0.08767845	0.07441083	0.07419172	0.07497399	0.034799512	0.02528441	0.039125953
a35	0.10608549	0.09082256	0.09784121	0.099293776	0.09216058	0.085829005	0.088142894	0.10108417	0.07657794	0.06601238	0.027161835	0.034149297	0.034838837
a8	0.17810422	0.08698599	0.08121291	0.078369975	0.07372749	0.0699245	0.09770742	0.07351326	0.0730007	0.07576309	0.039371632	0.031129193	0.041189667
a31	0.13625814	0.09729453	0.09072832	0.08683585	0.081856	0.07344921	0.08739501	0.082093604	0.08202586	0.08243478	0.045873478	0.022614416	0.031140842
</S>	0.1050106	0.08842573	0.09297809	0.095728874	0.0884189	0.08473893	0.091670185	0.09572264	0.08175264	0.074049145	0.026936565	0.034386534	0.040181085
