 	qualcuno	al	telefono	vuole	sapere	dell	Anna	</S>
a23	0.110740535	0.1099769	0.10974402	0.109092146	0.113939494	0.12241829	0.12323851	0.20085004
a31	0.07898284	0.07104143	0.04684624	0.072061546	0.18949614	0.25692317	0.15840389	0.12624472
a29	0.29071155	0.17218207	0.090500005	0.10127004	0.15822667	0.10338793	0.04756368	0.03615807
a46	0.12432315	0.11647027	0.06485207	0.123573214	0.2287973	0.18862793	0.10371239	0.04964362
a11	0.11561821	0.11287891	0.068801865	0.14138474	0.19744498	0.163528	0.12032408	0.08001915
a20	0.21411006	0.20199381	0.0929142	0.124573804	0.16761295	0.105962746	0.061107498	0.031724904
a8	0.21032491	0.19266303	0.09615187	0.13733982	0.1480199	0.097881965	0.06664663	0.050971914
a31	0.12448732	0.11546099	0.06836358	0.11993175	0.181944	0.17949362	0.116126925	0.09419186
a38	0.2683658	0.18186148	0.09682726	0.12087768	0.13444012	0.10292765	0.054355044	0.040344983
a31	0.20071346	0.15084885	0.09875937	0.12421078	0.13451545	0.14385122	0.08530307	0.061797787
a24	0.2638945	0.15588635	0.08504958	0.115788646	0.1438064	0.12567534	0.06404646	0.045852758
a37	0.23024271	0.13963008	0.09459228	0.11074086	0.12177577	0.115602136	0.106277935	0.08113816
a15	0.24938375	0.14216214	0.09266316	0.0975491	0.118057	0.11782058	0.10006046	0.082303785
a31	0.15720059	0.13475078	0.118197404	0.11826017	0.11741479	0.17966132	0.086377874	0.08813704
a20	0.20355223	0.1561472	0.11384138	0.12989959	0.1406766	0.12656413	0.08234304	0.046975847
a31	0.24998409	0.14749865	0.09148875	0.091688044	0.12753393	0.13499662	0.08859743	0.06821245
a37	0.2702438	0.15309964	0.09273318	0.082438745	0.1468514	0.12587458	0.07984078	0.048917882
a46	0.2777125	0.14921023	0.09265782	0.08102856	0.11800848	0.114443816	0.09645308	0.07048555
a20	0.20024973	0.15655033	0.13180509	0.115750045	0.08423784	0.14261246	0.077798404	0.09099614
a24	0.13845223	0.13153444	0.11223558	0.10041477	0.12177863	0.17898612	0.112455346	0.104142874
a31	0.15097992	0.1305222	0.10487482	0.091004364	0.1063604	0.19005841	0.10959677	0.11660307
a17	0.22023243	0.15231131	0.103345156	0.09268935	0.15796572	0.12930764	0.09205185	0.052096575
a20	0.16739288	0.14092925	0.1139195	0.09923643	0.09695013	0.15757512	0.08809251	0.13590424
a38	0.13731106	0.13272448	0.11926703	0.104303785	0.093265556	0.17567681	0.109565645	0.12788565
a31	0.15077011	0.1406526	0.121901035	0.10355825	0.09118782	0.15778048	0.096600875	0.13754882
a17	0.20689803	0.14399025	0.11209209	0.08579469	0.13792829	0.13716862	0.10905046	0.06707757
a31	0.16679575	0.14984214	0.1265678	0.10532204	0.09466188	0.12602372	0.09906588	0.1317208
a37	0.20144832	0.14885543	0.1268521	0.09208706	0.11056439	0.13488548	0.102098584	0.08320867
</S>	0.14959493	0.14440092	0.13595694	0.11198371	0.0802971	0.11038167	0.10823808	0.15914667
