 	ora	ho	finito	di	scrivere	</S>
a23	0.15562643	0.11462047	0.09083233	0.10914065	0.2682549	0.26152524
a31	0.15067407	0.12058418	0.12687443	0.14423414	0.2076979	0.24993528
a28	0.512585	0.12623431	0.07740431	0.09617856	0.12616959	0.06142833
a31	0.36512285	0.167601	0.19231346	0.101284325	0.093540885	0.08013751
a41	0.49470997	0.10866612	0.08472968	0.09436854	0.12732998	0.090195686
a21	0.3517994	0.13620637	0.16810705	0.109673396	0.13605942	0.098154426
a24	0.34264585	0.15644638	0.18817812	0.10361427	0.12180937	0.08730606
a31	0.3276715	0.1427813	0.17508118	0.11962021	0.116502695	0.118343145
a39	0.3376485	0.12793367	0.118775964	0.13561904	0.1558806	0.12414219
a31	0.3010597	0.108283535	0.12988825	0.15866472	0.1348009	0.16730295
a28	0.31387556	0.12539972	0.13105135	0.13578747	0.17843258	0.11545335
a31	0.27468508	0.11494614	0.08702164	0.15303345	0.18206015	0.1882535
a20	0.32272384	0.13835812	0.122219615	0.13296235	0.16633806	0.117397994
a37	0.26938945	0.15626934	0.06798939	0.10257128	0.18311769	0.22066286
</S>	0.25129905	0.16620943	0.07709385	0.084929354	0.19236471	0.22810356
