 	non	ho	cosa	a	fare	</S>
a8	0.13314961	0.17628853	0.1811304	0.1752738	0.18027833	0.15387934
a31	0.2543794	0.19921881	0.13537896	0.10703043	0.1393751	0.16461733
a37	0.3653734	0.19959088	0.15268505	0.118530914	0.10706885	0.056750905
a11	0.23239908	0.19175173	0.1244285	0.1491389	0.16904606	0.13323575
a13	0.31178096	0.18920596	0.11252904	0.13198657	0.12945454	0.12504289
a20	0.25859937	0.17414075	0.11575386	0.12853564	0.13575056	0.18721984
a31	0.32877573	0.17110646	0.09587024	0.11235325	0.12296371	0.16893058
a8	0.34515303	0.14638084	0.10707517	0.16684274	0.12046307	0.11408516
a31	0.24653429	0.23050548	0.17298709	0.12628184	0.126345	0.0973463
a46	0.38797328	0.23682575	0.11685019	0.064245686	0.08557373	0.1085313
a8	0.23044486	0.2370276	0.18383317	0.13120782	0.13378462	0.08370198
</S>	0.20751807	0.23562919	0.18731147	0.12946627	0.13660985	0.103465155
