 	non	so	cosa	stai	scrivendo	</S>
a31	0.094657734	0.09468219	0.10268636	0.12622404	0.27270412	0.30904555
a21	0.14060211	0.22055246	0.20841224	0.2022909	0.14189404	0.086248256
a31	0.0964105	0.1474501	0.13402244	0.20670997	0.21155842	0.20384859
a10	0.18229434	0.30214986	0.2475066	0.16504812	0.06327689	0.039724287
a7	0.18460439	0.25114572	0.25381023	0.17210269	0.08596479	0.052372184
a41	0.17780302	0.17833237	0.2254074	0.15718876	0.11575761	0.14551081
a31	0.18768981	0.21614943	0.24621233	0.14933555	0.11587526	0.084737554
a8	0.18216556	0.2429094	0.23455441	0.15233682	0.11064569	0.07738814
a31	0.24793403	0.24724579	0.20552732	0.116385736	0.094312705	0.088594526
a8	0.2253452	0.23823562	0.21929392	0.14258626	0.099368244	0.07517076
a23	0.24887797	0.23546281	0.2606839	0.10190848	0.078256786	0.07481006
a8	0.19287506	0.18948007	0.20740393	0.18638426	0.11780016	0.106056504
a31	0.11035913	0.12282904	0.11390537	0.15562443	0.20276059	0.29452145
a21	0.19793023	0.264774	0.26429635	0.13216093	0.07754548	0.06329294
a31	0.16798441	0.17597829	0.17757975	0.13168424	0.13567951	0.21109377
a24	0.25487188	0.25601527	0.23094144	0.11717423	0.070768595	0.07022859
a21	0.21372566	0.20054255	0.19415745	0.12724864	0.108301125	0.1560246
a31	0.13930184	0.14733742	0.14795043	0.12936406	0.21071596	0.22533028
a17	0.2571081	0.24277726	0.22735575	0.11053045	0.076225735	0.08600273
a20	0.1511212	0.15102269	0.15814334	0.12740362	0.2288058	0.1835034
a0	0.12017916	0.12414571	0.1304985	0.12822962	0.25421876	0.24272822
a31	0.11287502	0.11707442	0.13189861	0.14554898	0.26648316	0.2261198
a8	0.2555905	0.23505786	0.22235526	0.10621584	0.08010548	0.100675054
a37	0.11888851	0.12197798	0.13830936	0.13503313	0.27810654	0.20768443
</S>	0.111104354	0.113239415	0.13136227	0.14415309	0.2623626	0.23777829
