 	avete	cucinato	le	verdure	</S>
a20	0.2091626	0.21099684	0.21781898	0.17598721	0.1860344
a31	0.24213454	0.14215015	0.22765665	0.18120974	0.20684889
a37	0.3274788	0.17579867	0.20972018	0.18500212	0.10200022
a10	0.1997123	0.142947	0.2453619	0.22862314	0.18335567
a20	0.17916402	0.14231372	0.259327	0.23955198	0.17964324
a28	0.18480332	0.13283227	0.23011145	0.2340466	0.2182064
a20	0.19096653	0.13057275	0.18071653	0.23949364	0.25825053
a33	0.21442378	0.12612928	0.15600415	0.2243935	0.27904928
a8	0.24897707	0.19322525	0.21912657	0.13194986	0.20672119
</S>	0.2595954	0.19486041	0.22410534	0.14597557	0.17546333
