 	l	ho	sentito	che	veniva	</S>
a41	0.10413162	0.06867821	0.10092311	0.1387981	0.28347418	0.30399477
a31	0.06100386	0.035597473	0.13183154	0.22159521	0.31330794	0.23666398
a24	0.22574076	0.18414386	0.15578614	0.13318358	0.14687197	0.15427375
a15	0.090463586	0.06300958	0.14784126	0.24282785	0.2683263	0.18753143
a28	0.07345703	0.05539348	0.15702556	0.25595486	0.26164636	0.1965227
a0	0.10115331	0.0629356	0.16354261	0.2548109	0.23265101	0.18490657
a31	0.0802982	0.051958032	0.16564529	0.23371285	0.20536223	0.2630234
a11	0.11520101	0.111819044	0.23678029	0.23866925	0.13868876	0.15884173
a31	0.07595964	0.053306587	0.14506066	0.1907682	0.18832052	0.3465844
a39	0.15888754	0.14377221	0.18351781	0.21688382	0.12682402	0.1701146
a20	0.1206222	0.084121704	0.13814192	0.18038708	0.20372878	0.27299833
</S>	0.15181457	0.0950424	0.11421507	0.1648399	0.21374018	0.26034787
