 	era	molto	stanco	</S>
a46	0.29042313	0.24454391	0.2033075	0.2617255
a8	0.10124177	0.14528613	0.49925244	0.2542197
a37	0.067367524	0.17934355	0.45859325	0.29469562
a31	0.14595173	0.29191044	0.3347199	0.22741798
a0	0.24529578	0.25928852	0.28594604	0.20946969
a20	0.097213835	0.21811092	0.38475004	0.29992527
a31	0.1156033	0.31509206	0.29857275	0.27073193
a39	0.18148832	0.2525789	0.33475593	0.23117681
a41	0.10409365	0.2122887	0.35919866	0.32441896
a31	0.10087536	0.22995861	0.34520367	0.3239623
a28	0.14505859	0.23952694	0.40126336	0.21415111
a11	0.108046226	0.13462661	0.4124708	0.3448564
a20	0.10481664	0.14519142	0.40319222	0.3467997
a31	0.1079746	0.12388466	0.4179078	0.35023296
a11	0.16393739	0.17252411	0.39040947	0.27312905
</S>	0.17517407	0.13046454	0.35747126	0.33689016
