 	essendosi	vestito	</S>
a46	0.4500271	0.25515276	0.29482004
a31	0.27322993	0.28679636	0.43997374
a18	0.32618514	0.34943885	0.32437608
a31	0.22415902	0.3074076	0.46843335
a20	0.3337738	0.31781903	0.34840712
a46	0.24912688	0.30611554	0.4447576
a20	0.23611511	0.3016874	0.46219742
a31	0.23885667	0.2984365	0.46270686
a0	0.23114109	0.36321375	0.4056452
a46	0.3157756	0.2230548	0.46116966
a35	0.39802542	0.22757149	0.37440306
a46	0.43330064	0.24593724	0.32076213
a24	0.44007128	0.25180206	0.30812663
a46	0.4448062	0.22883941	0.3263544
a24	0.45184335	0.24494493	0.30321175
a31	0.4577365	0.23232849	0.30993497
</S>	0.28651774	0.2612203	0.45226198
