 	deve	che	entra	da	qui	</S>
a31	0.09983354	0.11994014	0.123768196	0.1700329	0.20166382	0.28476143
a21	0.15251924	0.13856359	0.12626024	0.19258411	0.2369622	0.15311061
a31	0.1420535	0.13305308	0.08841747	0.13121322	0.26362592	0.2416368
a20	0.1430908	0.107167244	0.10200073	0.1956709	0.2638229	0.1882474
a11	0.103445746	0.10024845	0.09164781	0.14123087	0.28409725	0.27932993
a31	0.11652308	0.09375248	0.0890539	0.13820277	0.2964223	0.26604542
a37	0.1527285	0.113138504	0.09939648	0.14795429	0.28767055	0.19911171
a31	0.12934819	0.11202777	0.11304358	0.1381903	0.23396897	0.27342117
a8	0.14587508	0.121813774	0.13246246	0.15944439	0.21262106	0.22778323
a31	0.13921139	0.15121655	0.14464769	0.16085973	0.2105094	0.1935553
a46	0.13090162	0.13852936	0.1540549	0.17990439	0.20374604	0.19286373
a31	0.12220559	0.19056089	0.16564634	0.16224983	0.18201166	0.17732564
</S>	0.13408512	0.17720671	0.19987082	0.16321923	0.18387592	0.14174215
