 	si	è	rotta	la	coppa	</S>
a31	0.051232707	0.043924477	0.11618708	0.13585319	0.38890046	0.26390213
a20	0.13488	0.112005554	0.14459951	0.09918206	0.22507899	0.2842539
a19	0.10083475	0.10352828	0.19564703	0.19575998	0.1885631	0.21566689
a18	0.23771137	0.17203216	0.15660907	0.11006467	0.15341994	0.17016275
a27	0.09344045	0.08557452	0.1657614	0.15936404	0.2174408	0.27841878
a31	0.06601129	0.057921235	0.11835313	0.14412218	0.2699117	0.34368044
a39	0.089540705	0.07624961	0.18442482	0.14800045	0.21878448	0.28299993
a31	0.052200876	0.047792334	0.093415536	0.11834641	0.33877385	0.349471
a46	0.091122925	0.062415507	0.07786346	0.09955869	0.27527058	0.39376888
a31	0.08877458	0.07502447	0.13926539	0.14955436	0.3133647	0.23401654
a20	0.09923782	0.07098016	0.062470645	0.07287687	0.34717914	0.34725538
</S>	0.12953964	0.10275864	0.15895896	0.15899785	0.23851894	0.211226
