 	non	mi	aspetti	non	vengo	</S>
a33	0.1306929	0.1365995	0.15548433	0.21707636	0.19605292	0.16409397
a31	0.13199185	0.112193696	0.16508359	0.24412034	0.21050265	0.13610792
a37	0.31247836	0.15531531	0.20402083	0.17859697	0.10586126	0.043727256
a35	0.18183887	0.08465041	0.16481064	0.28450292	0.19625013	0.08794701
a31	0.22320676	0.09231647	0.15159975	0.23380424	0.1681486	0.13092409
a7	0.29206106	0.14650187	0.21741697	0.18370153	0.10107123	0.05924735
a18	0.18521507	0.11642447	0.17945708	0.25828066	0.1457857	0.11483705
a24	0.17722948	0.09708425	0.1786456	0.2780161	0.1600664	0.108958244
a31	0.16638945	0.10013564	0.17411967	0.2768016	0.16532937	0.11722431
a20	0.23201661	0.13053118	0.21602094	0.1757774	0.117234275	0.12841962
a8	0.15538093	0.11476031	0.20932469	0.27068436	0.16072333	0.08912644
a31	0.10483796	0.10445093	0.22825281	0.26889592	0.19408283	0.099479556
</S>	0.21669668	0.1443004	0.19356759	0.25075328	0.14894742	0.045734636
