 	sto	ancora	cucinando	</S>
a20	0.15734786	0.20185259	0.2673203	0.37347925
a31	0.21749105	0.26060963	0.25073117	0.27116817
a37	0.35447606	0.28067636	0.22945553	0.13539207
a20	0.2127544	0.23071046	0.27197027	0.2845649
a31	0.20727634	0.22925508	0.27919418	0.28427443
a30	0.29061612	0.23552795	0.2666386	0.20721729
a46	0.1352058	0.24852209	0.32973662	0.2865355
a31	0.12800664	0.23276012	0.3101643	0.32906896
a39	0.21099196	0.22064781	0.33044916	0.23791106
a15	0.09956699	0.16885504	0.34741104	0.38416687
a20	0.11496676	0.13341811	0.345544	0.4060711
a22	0.11971756	0.14122663	0.3435231	0.39553276
a31	0.13418537	0.15633957	0.32102314	0.38845193
a46	0.17689998	0.17596726	0.32587433	0.32125843
</S>	0.22716424	0.21412167	0.2650901	0.29362398
