 	lo	posso	finire	di	scrivere	</S>
a20	0.14102045	0.09768378	0.0877115	0.1382481	0.38641596	0.14892016
a31	0.30164412	0.090660855	0.05954068	0.21813145	0.2341219	0.09590108
a39	0.2295891	0.15208302	0.14334561	0.20885925	0.18374081	0.082382165
a24	0.2930224	0.1250648	0.08511942	0.1928144	0.20775947	0.09621949
a18	0.29007384	0.10358992	0.07023117	0.18622474	0.23346521	0.11641507
a24	0.31112957	0.09772012	0.06530128	0.17705134	0.22255233	0.12624535
a31	0.26638955	0.09058057	0.060160648	0.19568591	0.22556329	0.16162008
a20	0.16339482	0.089808166	0.09039005	0.24948323	0.23154719	0.1753765
a31	0.20066264	0.107694015	0.07854186	0.17807408	0.24786969	0.18715765
a1	0.20410341	0.09623016	0.0795284	0.15866797	0.30754754	0.15392254
a31	0.21916883	0.17003758	0.1557395	0.08772061	0.23270294	0.13463049
</S>	0.31729558	0.14323261	0.09891711	0.100267	0.20928161	0.13100612
