 	se	si	era	vestita	la	mia	figlia	l	avessi	portata	alla	chiesa	</S>
a31	0.04376903	0.043531243	0.04348632	0.043457467	0.043496553	0.044010326	0.051372714	0.06330271	0.070963375	0.076861806	0.10032625	0.17959972	0.19582246
a24	0.069294445	0.0636691	0.051093202	0.045518164	0.045861453	0.049410038	0.1179455	0.1292277	0.12384348	0.11049901	0.07072777	0.07340558	0.04950462
a28	0.045918282	0.040707782	0.027195673	0.024602983	0.043966826	0.0488724	0.08799157	0.11028398	0.1345009	0.17252915	0.09073823	0.09588376	0.07680846
a39	0.104832076	0.08927746	0.044541348	0.035968143	0.07070984	0.07902564	0.11015894	0.107842885	0.1094188	0.10423701	0.05008463	0.049373243	0.04452995
a17	0.10240199	0.08611624	0.04530277	0.037211332	0.07329586	0.08278724	0.10341785	0.10296664	0.10531889	0.094472714	0.059479162	0.05867639	0.048552945
a31	0.07149767	0.060584366	0.040587034	0.036168333	0.07329572	0.084809534	0.12417155	0.13065916	0.1222877	0.08080242	0.05939375	0.06580976	0.049933054
a20	0.113299355	0.09340381	0.049992092	0.04047275	0.07016009	0.07668214	0.08040209	0.0866409	0.10489966	0.10025569	0.07189279	0.06597778	0.045920804
a31	0.11208311	0.088969305	0.053126205	0.048053887	0.095162846	0.101441115	0.08446683	0.07305744	0.076996565	0.09111324	0.06959541	0.070607856	0.0353262
a17	0.094140664	0.081409685	0.04865859	0.042109255	0.074989334	0.081634246	0.08437822	0.08838507	0.10354512	0.112357914	0.07333973	0.06998627	0.04506585
a8	0.09761647	0.07430496	0.053618625	0.049946014	0.09758455	0.10825917	0.10278116	0.09228889	0.09028584	0.079528816	0.05823179	0.060107276	0.035446372
a31	0.07648327	0.071197346	0.053061504	0.049338747	0.05210766	0.06819294	0.094439946	0.1185528	0.13993494	0.112560876	0.06144708	0.061462123	0.041220844
a8	0.09574528	0.080576934	0.07110466	0.06397471	0.056251097	0.05832428	0.09087921	0.094485074	0.10004591	0.09631268	0.07670776	0.07590089	0.03969151
a24	0.10320507	0.08499866	0.05365004	0.04760895	0.06502025	0.076405145	0.08762673	0.100917846	0.12301279	0.117405176	0.047982942	0.0543891	0.037777312
a31	0.10612071	0.09283446	0.0717228	0.05884835	0.053657576	0.059087537	0.07899405	0.09754759	0.11937126	0.1195389	0.060253415	0.05010569	0.03191762
a20	0.118806906	0.09960337	0.07508629	0.06114084	0.058659337	0.060238585	0.07167532	0.07934612	0.09282146	0.089243196	0.082869455	0.0748745	0.03563455
a31	0.13311358	0.104677305	0.05903767	0.051710457	0.088165775	0.0892954	0.08162399	0.07835069	0.08865527	0.10509687	0.04924517	0.042123087	0.028904691
a41	0.11497336	0.10386109	0.077286854	0.062211327	0.05425392	0.06073287	0.06979927	0.08127001	0.09989136	0.08887243	0.07673423	0.07357958	0.036533687
a31	0.13238382	0.10321177	0.056834117	0.049386557	0.07779107	0.08732098	0.084785365	0.08336828	0.096554	0.11317802	0.044667542	0.04041203	0.030106394
a13	0.108396664	0.09722747	0.08467639	0.07315982	0.046974126	0.056877673	0.08392464	0.08810103	0.0958518	0.08098315	0.06878642	0.07169165	0.043349132
a37	0.13234328	0.10804136	0.063164994	0.052647587	0.06713729	0.0798767	0.08463543	0.09129736	0.110150784	0.09715612	0.042616542	0.03882355	0.032109037
a8	0.11830851	0.10731324	0.07790963	0.062421374	0.055010866	0.06602588	0.076964036	0.08858625	0.107662216	0.10119298	0.056386877	0.05067817	0.031539958
a39	0.051791396	0.050481543	0.040256612	0.036082868	0.028635846	0.035540733	0.06413224	0.09740328	0.107097454	0.07494906	0.13034832	0.16843228	0.11484836
a20	0.035598777	0.034790404	0.033701982	0.03313771	0.03969335	0.04664568	0.0718241	0.079688214	0.08936928	0.098571695	0.12415894	0.1797791	0.13304076
a24	0.061106563	0.054497853	0.04109127	0.035906594	0.0450196	0.048737556	0.07331706	0.09484979	0.11474168	0.13139924	0.08594503	0.11994357	0.0934442
a18	0.054737963	0.049443867	0.0373331	0.032368798	0.03912227	0.046028532	0.06846202	0.0924455	0.11842312	0.1334746	0.09428862	0.13248804	0.101383574
a23	0.062348876	0.055241782	0.03493208	0.030147482	0.049095344	0.05246798	0.072585784	0.09607843	0.12755829	0.15973426	0.07716437	0.105211	0.077434264
a24	0.047500413	0.04166702	0.026382392	0.024552522	0.041928403	0.053179886	0.07551746	0.09973784	0.12754567	0.14417249	0.088682845	0.12367348	0.10545957
a31	0.04424591	0.040441222	0.034487005	0.031919695	0.037291735	0.04233907	0.07789486	0.10227859	0.121188186	0.13775699	0.097476795	0.13425365	0.098426215
a20	0.12600419	0.10886419	0.06267738	0.053366624	0.08239803	0.07806236	0.0501389	0.053292535	0.06533991	0.088287555	0.1018754	0.07953073	0.050162222
a3	0.053574856	0.047302555	0.035746533	0.031068899	0.032113146	0.03937243	0.05961961	0.07769508	0.094638065	0.11652502	0.11501487	0.15790081	0.13942815
a31	0.055992402	0.049819626	0.032915268	0.029047748	0.03586118	0.04826942	0.06222084	0.073309615	0.09090967	0.11567481	0.1194099	0.14785	0.13871957
a13	0.12790483	0.10992527	0.07707897	0.06583273	0.07693004	0.07121308	0.053510103	0.057434402	0.064579144	0.07473137	0.0980393	0.0765886	0.046232108
a31	0.046108916	0.043466885	0.035777174	0.031467725	0.022491915	0.030744014	0.049169194	0.06268033	0.068598285	0.06877615	0.15616524	0.21434957	0.17020462
a3	0.13069321	0.11030153	0.079358734	0.06718253	0.07662284	0.073768966	0.055668026	0.059334837	0.06690175	0.07422581	0.08931302	0.07250738	0.044121355
a20	0.05189397	0.050806075	0.043822125	0.039108403	0.023929607	0.028003119	0.045633662	0.05808972	0.055863153	0.0557354	0.1603707	0.2192773	0.16746671
a39	0.0495422	0.047394585	0.043401055	0.04051073	0.030107988	0.03909073	0.06624033	0.073931105	0.07258977	0.07118684	0.12381383	0.17676124	0.16542953
a20	0.056021966	0.052664954	0.04562721	0.040907726	0.029133026	0.03858851	0.06142377	0.072478816	0.07350664	0.06816136	0.11929893	0.17379598	0.16839112
a31	0.054309238	0.051075574	0.04523201	0.041140452	0.027666105	0.0366934	0.061633326	0.071988486	0.07175415	0.06440371	0.11868883	0.179043	0.17637165
a24	0.13392301	0.11177104	0.08728658	0.073302835	0.061861977	0.07200383	0.07368063	0.0742929	0.07510117	0.06231545	0.06976187	0.061888758	0.042810023
a46	0.05977993	0.059282437	0.055599183	0.05216823	0.02831046	0.027736897	0.043408364	0.050315715	0.046063177	0.053511746	0.14589414	0.20545603	0.1724737
a31	0.056489326	0.055843286	0.049318515	0.045135014	0.029150825	0.030012319	0.0428917	0.055012517	0.054055966	0.06555815	0.16604666	0.19742762	0.15305804
a18	0.11523188	0.10144939	0.0909974	0.08100453	0.050153825	0.06408396	0.09289973	0.09148479	0.08360199	0.058376946	0.056540016	0.06134887	0.052826628
a31	0.060356963	0.059968896	0.0571559	0.054379147	0.030065136	0.029203884	0.04349063	0.04745748	0.04639347	0.061638962	0.16202228	0.20187853	0.1459887
a20	0.12770042	0.10745107	0.09331889	0.081420615	0.040540446	0.05144652	0.08845558	0.093782574	0.083940096	0.054589156	0.059070226	0.06263999	0.05564439
a24	0.06006813	0.059690613	0.05842891	0.0567247	0.030655487	0.029567711	0.04414108	0.045612726	0.043474786	0.057407506	0.15877771	0.19901624	0.15643443
a31	0.06354246	0.0632817	0.060751393	0.058262847	0.032788537	0.03304975	0.051819287	0.057480082	0.053879958	0.05574975	0.12691142	0.18841162	0.15407123
a23	0.1228333	0.106700905	0.09300154	0.08155541	0.042861078	0.05580525	0.0919222	0.09465411	0.08509958	0.054831054	0.057214357	0.060120173	0.05340103
a20	0.060586393	0.06022103	0.0556493	0.051922623	0.031172479	0.030517716	0.041143637	0.04643077	0.049820602	0.07219886	0.17382577	0.20776252	0.118748285
</S>	0.053447787	0.05321761	0.052716687	0.05207477	0.03237297	0.03511562	0.05283168	0.055733483	0.048384927	0.04671593	0.13993484	0.20482786	0.17262581
