 	ho	scritto	una	lettera	al	mio	fratello	</S>
a10	0.08467432	0.082015686	0.07538359	0.06114964	0.11967415	0.16541363	0.19551162	0.21617739
a31	0.025523897	0.021172663	0.01838995	0.03311642	0.07220589	0.21559462	0.32487258	0.28912398
a37	0.23851365	0.12700604	0.107656375	0.10999651	0.09834015	0.110238634	0.11118567	0.09706297
a31	0.099600956	0.113026276	0.10390578	0.10113318	0.091806255	0.12665342	0.1875063	0.17636783
a20	0.21434309	0.14909442	0.11671835	0.11885761	0.09202603	0.09755462	0.10689807	0.104507774
a31	0.110068694	0.10130256	0.085546955	0.11014889	0.088796414	0.12710744	0.18677029	0.1902588
a20	0.19039191	0.13302733	0.10317875	0.1290202	0.09225475	0.10189072	0.12668319	0.12355318
a13	0.13997455	0.09484329	0.07645419	0.12361049	0.094111994	0.117943875	0.17764768	0.17541395
a20	0.10170588	0.08689476	0.0672687	0.10355682	0.110719405	0.1334368	0.18905798	0.2073597
a24	0.15184894	0.12808238	0.09576472	0.13100007	0.088164665	0.10217012	0.14691462	0.15605456
a31	0.11711755	0.08809724	0.07690121	0.12130848	0.11044099	0.12304332	0.17411919	0.18897204
a0	0.14576745	0.10075815	0.11619672	0.16036005	0.1109361	0.11374285	0.12907289	0.1231658
a35	0.09614665	0.07105314	0.034755103	0.08544457	0.11292056	0.16368832	0.21654145	0.21945015
a0	0.09206496	0.07657811	0.037342113	0.081712	0.10491494	0.1630699	0.22402605	0.22029191
a31	0.08679268	0.06438616	0.035717063	0.075087816	0.09866177	0.17076313	0.23394924	0.23464218
a11	0.250366	0.10417373	0.1239925	0.12514341	0.08632147	0.09308779	0.11059624	0.106318824
a20	0.08901625	0.05087489	0.028287865	0.08157855	0.11463795	0.18836303	0.22319996	0.22404146
a41	0.10287284	0.06470523	0.03052064	0.088313304	0.10936016	0.17301865	0.21824323	0.21296595
a10	0.10604952	0.07395755	0.029985534	0.06266416	0.100559026	0.17969681	0.22261597	0.22447136
</S>	0.11520116	0.06486022	0.024368338	0.052274533	0.095950715	0.17737065	0.23259841	0.23737596
