 	cosa	fa	Anna	il	sabato	mattina	</S>
a46	0.12903659	0.12887119	0.12868862	0.12873983	0.1304794	0.15049186	0.20369253
a31	0.15639302	0.15131786	0.13750619	0.14347543	0.16094767	0.093857415	0.1565025
a6	0.31055695	0.20617571	0.17373681	0.10834037	0.0631825	0.09777167	0.040236026
a31	0.19170615	0.18846565	0.15589012	0.10849622	0.131327	0.07223585	0.15187894
a37	0.32404247	0.2108116	0.17554864	0.10107151	0.062062643	0.08766395	0.03879912
a31	0.2391436	0.20783098	0.18344128	0.11741214	0.09490165	0.10741663	0.04985373
a17	0.27054036	0.20002437	0.18123081	0.10893093	0.09263856	0.0966897	0.04994527
a31	0.24185877	0.20513731	0.13442943	0.13293427	0.117665365	0.10109172	0.06688312
a17	0.28727156	0.23159555	0.14953858	0.10869567	0.08065129	0.1002771	0.041970335
a31	0.2437834	0.19201694	0.12320417	0.1212107	0.12765123	0.103048556	0.089085065
a8	0.28251737	0.24830583	0.1564705	0.091244124	0.08651589	0.0767789	0.058167372
a31	0.28141302	0.21452643	0.1272108	0.08617412	0.10653582	0.087541044	0.0965988
a28	0.2707931	0.23986737	0.15865321	0.08439981	0.09955764	0.06917477	0.07755413
a0	0.26825798	0.18840192	0.13470423	0.10545425	0.11090036	0.10886014	0.08342103
a41	0.30065158	0.2510525	0.12834683	0.07386709	0.085302345	0.07076962	0.09000994
a39	0.2883515	0.26785877	0.16809827	0.07297871	0.06391815	0.06911437	0.06968026
a31	0.24056198	0.23695289	0.20043689	0.101141386	0.08113976	0.074003674	0.06576345
a39	0.29830715	0.20359565	0.12076763	0.11572	0.09928397	0.1043629	0.05796271
a31	0.28038198	0.25889248	0.14658305	0.07419648	0.08692819	0.07862635	0.07439149
a18	0.31952685	0.22516325	0.118438445	0.09155183	0.09634621	0.087906055	0.06106741
a31	0.28161567	0.2754051	0.16511458	0.06936902	0.05826663	0.075287566	0.07494142
a18	0.3020428	0.23381174	0.12547615	0.08139081	0.092283174	0.076867275	0.08812805
a31	0.2720459	0.2673232	0.18425551	0.07823781	0.052281108	0.0789889	0.06686753
a39	0.29588985	0.23487774	0.12928735	0.08028745	0.08424451	0.0745596	0.10085343
a41	0.2634578	0.25630802	0.18776007	0.09071611	0.056830857	0.08262423	0.062302865
a8	0.20500587	0.205544	0.19780897	0.13538498	0.0708383	0.09749464	0.08792325
a31	0.1960526	0.1971197	0.19074927	0.14395103	0.07804049	0.10535912	0.0887279
a46	0.25918242	0.21987025	0.14270042	0.0849814	0.09585108	0.075627565	0.1217869
a8	0.1986113	0.19949141	0.18858203	0.12437754	0.067732744	0.12699367	0.09421137
</S>	0.19020866	0.1908655	0.18576503	0.14531466	0.08336802	0.11623899	0.088239074
