 	l	ha	scritta	</S>
a20	0.24546966	0.29193872	0.2621237	0.20046791
a31	0.2559434	0.3624758	0.20656623	0.17501459
a35	0.26935047	0.28262118	0.2674666	0.18056177
a31	0.20469254	0.33752924	0.23382287	0.22395532
a35	0.2608173	0.2852721	0.2654441	0.1884665
a31	0.21699005	0.2906747	0.22671726	0.26561797
a41	0.23133393	0.2480188	0.24364635	0.27700093
a31	0.261116	0.27829692	0.25149456	0.20909251
a11	0.24923316	0.24128057	0.2505956	0.2588907
a18	0.28683922	0.2803922	0.25635272	0.17641582
a13	0.3042216	0.28525648	0.25325146	0.15727043
</S>	0.27405664	0.2977554	0.2879462	0.14024173
