 	vuole	vuole	mangiato	caldo	</S>
a37	0.08346182	0.07548684	0.06270888	0.48486686	0.29347563
a31	0.18136582	0.15951815	0.11348875	0.27893683	0.26669046
a41	0.20193066	0.17815174	0.14872272	0.22335196	0.24784297
a31	0.103115395	0.14034322	0.135387	0.3279159	0.29323837
a11	0.1654437	0.15082602	0.13282913	0.26005578	0.29084536
a20	0.087019995	0.11598875	0.16190445	0.33894894	0.2961379
a31	0.089406416	0.10418257	0.1323969	0.3205775	0.35343665
a18	0.11491789	0.11181329	0.15084995	0.31458846	0.3078305
a31	0.05826696	0.061805382	0.06598743	0.38461652	0.42932364
a20	0.13857289	0.104366206	0.12010866	0.34071445	0.29623777
a21	0.061884426	0.053838275	0.048167553	0.4019339	0.43417588
</S>	0.10734051	0.083099894	0.06895538	0.39162403	0.34898016
