 	ho	finito	di	scrivere	</S>
s	0.7933791	0.039419632	0.0026525245	0.0053612418	0.1591874
p	0.14027569	0.16166349	0.031333398	0.036224082	0.6305034
ì	0.49784207	0.40472725	0.0024949962	0.0012195444	0.093716085
c	0.16983093	0.5079769	0.01898123	0.012247614	0.29096338
c	0.16348633	0.19601229	0.010388618	0.01533604	0.6147767
e	0.2858768	0.6940199	0.01678549	0.00017038135	0.0031474626
t	0.05966682	0.56147105	0.2664509	0.0062069036	0.106204316
s	0.004230067	0.02151904	0.15841208	0.05699002	0.7588488
a	0.03558105	0.024053976	0.8306649	0.03373073	0.07596946
à	0.01020719	0.010657525	0.81062794	0.060653143	0.10785423
t	0.0010516157	0.005379086	0.7510135	0.19313161	0.049424175
s	0.00090324716	0.02467342	0.32651904	0.17036532	0.47753897
e	0.010634634	0.008928994	0.30438346	0.52248996	0.15356293
g	0.006080023	0.010327377	0.05249854	0.723799	0.20729508
r	0.0043301512	0.015455696	0.09211488	0.26361838	0.6244809
à	0.032063253	0.030587295	0.008013176	0.71521235	0.214124
t	0.00010146128	0.01234231	0.0069905445	0.77961665	0.20094903
s	0.00326572	0.02484089	0.0020912292	0.14238141	0.8274207
i	0.058038604	0.035255615	0.0038086663	0.48167482	0.4212223
</S>	0.006486779	0.04311106	0.0064946096	0.33937296	0.6045346
