 	vuole	vuole	mangiato	caldo	</S>
t	0.8169542	0.07931582	0.007113121	0.008847292	0.08776957
è	0.7740487	0.19697297	0.0061698765	0.00041052036	0.022397937
l	0.694058	0.2121182	0.038779933	0.02926794	0.025775911
i	0.26494738	0.0663194	0.021876637	0.34724396	0.29961264
t	0.32733092	0.6510932	0.019070072	0.00033060636	0.0021752287
è	0.082750686	0.86436975	0.024315784	0.0006110019	0.027952714
l	0.02107639	0.8672477	0.09822646	0.0054846588	0.0079648495
i	0.014314091	0.441892	0.16522253	0.123747125	0.25482428
f	0.010033784	0.1818949	0.7146011	0.06850348	0.024966741
a	0.027184054	0.22222175	0.4170729	0.022061817	0.3114595
m	0.009986957	0.013696426	0.5042571	0.3071295	0.16492999
è	0.0060375924	0.016934445	0.24558152	0.22900802	0.5024384
n	0.0008368168	0.0045029647	0.21539043	0.6130828	0.16618697
o	0.0012513701	0.0025296218	0.13685411	0.44607067	0.41329417
t	0.003687374	0.002903484	0.009840437	0.7633127	0.220256
r	0.020192929	0.023870725	0.021291304	0.34758988	0.58705515
e	0.0028124126	0.001109858	0.003713167	0.7689255	0.22343911
m	0.0018388616	0.0017227372	0.0017535433	0.56643766	0.4282472
m	0.005451992	0.0054106163	0.00883411	0.6379017	0.34240156
ò	0.0028239945	0.0016730513	0.0029803328	0.89885557	0.09366709
</S>	0.10033394	0.0483241	0.020430395	0.54708976	0.28382182
