 	non	sono	andati	</S>
e	0.79783654	0.014662588	0.0012301159	0.18627077
n	0.09828394	0.15432113	0.02007777	0.7273171
è	0.004274196	0.78839666	0.09944037	0.10788875
c	0.00792829	0.99116874	0.00044647316	0.00045645444
h	0.008448338	0.8041455	0.041778598	0.14562748
u	0.0017178281	0.73255914	0.25370467	0.012018385
n	0.0049978644	0.122573435	0.33087555	0.54155314
e	0.0004109308	0.049774084	0.50515795	0.44465706
p	0.0036375534	0.0029236202	0.6854484	0.30799037
a	0.00048306742	0.009091383	0.81311035	0.1773152
m	0.0028846173	0.00082110666	0.6383626	0.35793167
è	0.0008260177	0.0062352666	0.83335465	0.15958409
n	0.00040867834	0.0017620162	0.6694266	0.32840267
a	0.0015712813	0.004986726	0.8663041	0.12713781
</S>	0.0005985561	0.0003973911	0.054383453	0.9446206
