 	le	ragazze	vogliono	guardate	</S>
t	0.8458649	0.004848738	0.0032230974	0.0034748835	0.14258838
a	0.7002944	0.09027534	0.031033289	0.014945761	0.1634512
k	0.69728917	0.26891148	0.004672769	0.0012833227	0.027843243
o	0.086820416	0.2891794	0.09611817	0.033018854	0.49486312
r	0.050314892	0.93894094	0.0065702065	0.00031533456	0.0038587342
à	0.026157798	0.64304703	0.14693479	0.034423348	0.14943704
s	0.0050560012	0.8444758	0.10245338	0.021341747	0.02667309
i	0.029080316	0.45000294	0.17372759	0.017404674	0.32978442
a	0.009063472	0.42145875	0.55471677	0.005183454	0.009577496
t	0.0039436086	0.040860713	0.77559793	0.09499603	0.08460168
è	0.002143166	0.0051435465	0.6146504	0.08476928	0.2932936
l	0.0010829389	0.019165661	0.8526866	0.07278833	0.054276504
o	0.001209471	0.013078067	0.40592125	0.03602028	0.5437709
n	0.013517219	0.03516115	0.59269917	0.28386864	0.074753895
e	0.0042434004	0.013170709	0.39928922	0.20861857	0.37467813
k	0.039346553	0.03467374	0.16498032	0.61725646	0.14374292
a	0.01880066	0.021305583	0.06376007	0.16441391	0.73171973
n	0.035924986	0.031997565	0.060631074	0.72105324	0.15039316
o	0.0007238614	0.0068416893	0.05485598	0.71505785	0.22252062
n	0.0061957235	0.011102427	0.018622292	0.8249058	0.13917378
i	0.00042644987	0.003398099	0.024170343	0.7316168	0.2403883
m	0.001473335	0.0063916896	0.01690369	0.78953564	0.1856956
m	0.00945459	0.0105846	0.0064829723	0.25264072	0.7208371
è	0.06098572	0.008096562	0.0131064085	0.4502017	0.4676096
n	0.106279925	0.013080366	0.012044948	0.07702832	0.79156643
a	0.26114362	0.049826592	0.01581048	0.039357256	0.633862
</S>	0.03218024	0.036161896	0.040901992	0.36846462	0.5222913
