 	non	ho	dove	d	andare	</S>
e	0.9822192	0.0017951744	0.0010575461	7.775537e-05	6.31796e-05	0.01478706
n	0.06576466	0.07754423	0.008101536	0.025433583	0.020876678	0.80227935
è	0.0028413408	0.51505494	0.27686524	0.049681727	0.0055676242	0.14998917
c	0.042931594	0.87306297	0.07991558	0.0034863867	0.00014664565	0.00045680942
h	0.0057362434	0.4440381	0.2532288	0.02705526	0.0044945697	0.26544708
o	0.00067150634	0.07234971	0.91114426	0.0154790105	0.0001414053	0.00021417576
p	0.003562988	0.071721345	0.40361464	0.49975175	0.0060899844	0.015259288
u	0.000735127	0.005794405	0.2930457	0.40072381	0.11601372	0.18368725
è	0.018096616	0.009633532	0.31697577	0.52019835	0.07857109	0.056524593
n	0.0005629303	0.0039654206	0.096268795	0.74877393	0.09830229	0.052126583
a	0.00058760814	0.00833056	0.21984585	0.5893173	0.06562448	0.11629423
p	0.0037692783	0.0036053932	0.014971071	0.29196754	0.56341016	0.12227653
à	0.0013536299	0.005863638	0.026590547	0.5963756	0.17351423	0.19630243
o	0.0008613838	0.0018501073	0.015127443	0.06902772	0.79483503	0.118298285
</S>	0.0014122118	0.005515272	0.015697155	0.03712405	0.6858832	0.25436813
