 	non	deve	magniare	la	sera	</S>
e	0.9515548	0.0014916986	4.1214167e-05	6.384386e-05	0.00028102443	0.04656757
n	0.06818106	0.3680017	0.13754027	0.013671402	0.0203879	0.39221764
è	0.0015544997	0.51844686	0.2262984	0.13804217	0.024090432	0.0915676
n	0.014167628	0.9748331	0.0076897303	0.0019109669	0.001140967	0.00025772024
a	0.0019206291	0.63852835	0.21053247	0.03929172	0.005622665	0.10410426
f	0.0019404298	0.39889964	0.50916827	0.07935086	0.006652856	0.0039879163
à	0.00022196116	0.08363365	0.45660007	0.38319993	0.011347993	0.06499645
i	0.00097282033	0.10828622	0.08628996	0.37855735	0.38874242	0.03715118
t	0.0008203483	0.008144462	0.09531741	0.6973586	0.15801628	0.04034298
o	0.00015916422	0.008553909	0.012836837	0.37690973	0.43474922	0.16679116
v	0.0037380585	0.0017731097	0.0022548463	0.11672959	0.7824823	0.093022086
r	0.002105966	0.0077635963	0.036588285	0.40391788	0.28943592	0.2601883
à	0.0058137206	0.0010570018	0.0018874208	0.21457662	0.69270676	0.08395852
i	3.186999e-05	0.00021241627	3.93118e-05	0.010544747	0.9566795	0.032492157
</S>	0.0017864719	0.0036030638	0.002158506	0.04974749	0.7778626	0.16484186
