 	vuole	andare	a	Lecce	</S>
i	0.9802859	0.006143242	0.0065035117	0.002887306	0.0041799126
t	0.9511105	0.029394256	0.0004980892	0.0016266189	0.017370595
è	0.05464746	0.14260444	0.16907568	0.080112815	0.5535596
l	0.95441836	0.034075145	0.00897237	0.000121704164	0.002412479
i	0.54730517	0.14542286	0.023682669	0.05052688	0.23306245
n	0.025162967	0.94159365	0.023155123	0.008912699	0.0011754748
a	0.031863734	0.31555423	0.10465008	0.047259666	0.5006723
p	0.09266646	0.7178805	0.15532999	0.015646722	0.018476298
à	0.005176488	0.078223266	0.08458396	0.21539894	0.6166174
i	0.045963854	0.14445627	0.753321	0.010847242	0.04541168
L	0.015522745	0.059174504	0.14107294	0.47888607	0.30534372
u	0.0036124676	0.0034595418	0.016210474	0.23313804	0.74357945
p	0.68465555	0.15109648	0.019107454	0.046876103	0.098264486
p	0.008732462	0.019729853	0.017513469	0.2999967	0.6540275
ì	0.765528	0.12076715	0.021630663	0.008477696	0.08359649
u	0.72864896	0.07555647	0.07124458	0.03695243	0.0875975
n	0.059497695	0.021559428	0.107117504	0.13160935	0.6802161
a	0.008246344	0.029756948	0.040373422	0.092123106	0.8295002
</S>	0.160514	0.101300776	0.018318612	0.050681528	0.6691851
