 	non	li	aspettiamo	più	</S>
e	0.8337084	0.00039846473	0.001554092	0.012131635	0.15220742
t	0.12546115	0.021208044	0.0058595845	0.03434866	0.8131226
u	0.011514419	0.50610304	0.06850385	0.060568586	0.3533101
s	0.12178967	0.79079884	0.031137785	0.010133988	0.04613982
m	0.00566924	0.15557896	0.04703612	0.08168334	0.7100324
è	0.020868212	0.16356201	0.3585565	0.3778064	0.07920688
n	0.01460831	0.33558974	0.40902382	0.19282264	0.047955524
u	0.0057397215	0.28041333	0.42918298	0.14030705	0.14435695
m	0.001295589	0.02032609	0.5453963	0.4057311	0.027250875
e	0.0017094497	0.009702756	0.07208892	0.22665307	0.6898458
p	0.0044327183	0.0052952534	0.09240178	0.83171916	0.066151135
l	0.0027765485	0.008629138	0.02370083	0.44486615	0.52002734
è	0.0005964004	0.000465735	0.018851237	0.88865864	0.09142797
o	0.00018837389	0.00020390542	0.0075384425	0.9183046	0.0737647
</S>	0.00034156512	0.0009345617	0.0055386713	0.8534557	0.13972938
