 	se	si	era	vestita	la	mia	figlia	l	avessi	portata	alla	chiesa	</S>
a	0.8918534	0.0026353204	0.0018904543	0.0009196747	0.00040179066	0.00022398493	0.00028202642	9.4800314e-05	0.0006300946	0.00029359493	0.0005170166	0.0007709405	0.09948696
n	0.009265662	0.09735144	0.016348932	0.0048478157	0.014319721	0.010340483	0.0069965743	0.012410029	0.0013561854	0.005522221	0.0027004594	0.030631294	0.7879092
ì	0.00013560965	0.4217472	0.45711097	0.009241681	0.012473217	0.0057447855	0.005114544	0.0038242764	0.00518812	0.0018023681	0.0036952933	0.0055791563	0.06834277
c	0.00015694925	0.74416393	0.25448152	0.00023919695	0.00017557376	8.654609e-05	3.2358912e-05	7.576668e-05	3.611668e-05	3.27936e-05	2.9324397e-05	0.00018339744	0.00030654547
h	0.010853468	0.35611632	0.14363694	0.0017312749	0.017548772	0.008269248	0.010826445	0.011416166	0.009816117	0.012636411	0.0069269957	0.0076374537	0.40258437
a	0.0037901178	0.50732136	0.47462374	0.0022997777	0.003327334	0.0006073248	0.0009208357	0.00013108249	0.004270463	0.00054636877	0.0006999993	0.00023611651	0.0012254699
n	6.617329e-05	0.54723734	0.37068605	0.014252409	0.037425365	0.017732823	0.0017575212	0.007169397	8.6046544e-05	0.0024909223	2.5723135e-05	7.101728e-05	0.0009992269
d	0.00021120683	0.122769125	0.60385245	0.016147219	0.041783538	0.02299853	0.020462096	0.013760148	0.024613796	0.010038488	0.012045445	0.004391172	0.10692684
ì	0.0055772862	0.36816326	0.27697024	0.034623377	0.028869053	0.0055745747	0.054775577	0.0027344257	0.08732469	0.013216231	0.014234333	0.06398432	0.043952595
s	6.0035156e-05	0.16127402	0.71538097	0.05914977	0.03288259	0.011040756	0.0033893643	0.00077932404	0.0023052413	0.0005098163	0.00079485326	0.0037072862	0.008725931
o	0.0064607067	0.27020064	0.26295105	0.048387975	0.08670701	0.023722129	0.082301214	0.005186469	0.09527371	0.028606111	0.016463352	0.0048003606	0.06893919
n	9.48671e-05	0.014406521	0.1548194	0.24011637	0.3352467	0.17609921	0.036988754	0.026430449	0.0051581645	0.009808801	0.00038342713	0.00011618002	0.00033118328
t	0.000117937714	0.013882665	0.2999801	0.033924207	0.20422861	0.093334645	0.06353432	0.03705546	0.042716417	0.03290026	0.017851612	0.0071279723	0.15334576
a	2.3895553e-05	0.0038596985	0.07748007	0.045997985	0.47782022	0.15130316	0.079315715	0.052906383	0.011372126	0.07806668	0.0043627177	0.0029367125	0.014554648
i	0.0004212802	0.002813855	0.008563693	0.27082866	0.37282696	0.24058002	0.045609694	0.014996775	0.006731194	0.018374616	0.0012924261	0.005044062	0.011916765
k	3.062085e-05	0.0023606448	0.0023110472	0.08802769	0.37307733	0.3359222	0.049063247	0.07805805	0.005827813	0.027226573	0.0028521435	0.011741476	0.023501065
i	0.0011929472	0.0038479548	0.008293252	0.024331886	0.35447586	0.17145541	0.12586787	0.061285153	0.036657244	0.1012615	0.010845713	0.016065884	0.084419355
a	0.00012071519	0.0021354072	0.0027550177	0.30249625	0.38397893	0.22172895	0.042480122	0.013757634	0.010818637	0.0055562733	0.0015024624	0.0039363652	0.008733229
t	1.7444398e-05	0.0013239535	0.001234091	0.057429433	0.3433131	0.36772877	0.056608185	0.0944801	0.014906001	0.026727246	0.0054595196	0.013322927	0.017449215
è	4.9459446e-05	0.0011463745	0.012975312	0.028443959	0.26728004	0.095001824	0.039054427	0.03404621	0.22938111	0.00990325	0.07213414	0.04978608	0.16079783
r	1.0613891e-05	0.00050437456	0.004657632	0.0697403	0.15754394	0.10516993	0.028607799	0.032617986	0.49348667	0.004745285	0.060331948	0.021109685	0.021473853
a	0.001553352	0.00032724204	0.0039274795	0.0760968	0.21911186	0.086347714	0.04604671	0.0075295893	0.26318687	0.020086586	0.027331773	0.05166266	0.1967914
m	3.7505863e-05	0.00020613596	0.00015370586	0.05979101	0.18395734	0.25549248	0.31319043	0.059148833	0.04000165	0.078232184	0.008256287	0.000490635	0.0010418252
u	0.0067839893	0.0027182333	0.0012258466	0.030863738	0.22516774	0.13823661	0.2028978	0.028337935	0.010808854	0.23929536	0.0056386576	0.03173317	0.07629209
t	0.00013277968	0.0011159987	0.0007065834	0.034389	0.11562779	0.25868034	0.35469207	0.078139454	0.090046756	0.03906831	0.012232121	0.0046309363	0.010537846
i	7.366558e-05	0.00090499886	0.005234249	0.004593295	0.107120715	0.09886698	0.074927084	0.065826386	0.36215082	0.015117575	0.07043704	0.041950393	0.1527968
n	5.8704e-05	0.001045893	0.00120531	0.0127086975	0.058568016	0.11661529	0.357357	0.1070975	0.16936328	0.090226986	0.046358757	0.018758975	0.02063567
ì	4.4852197e-05	0.0006932774	0.0050923643	0.0024757918	0.07568117	0.06804845	0.05529246	0.0589507	0.42948002	0.013770274	0.08516649	0.04943407	0.15587004
c	1.444727e-06	7.938785e-05	0.0012924116	0.0007642687	0.0060376776	0.008798033	0.021352477	0.017110629	0.7748164	0.0058182017	0.13822907	0.013188445	0.012511517
h	0.0023605784	0.00033021974	0.0015549174	0.014385634	0.07899298	0.06410989	0.049807135	0.0077759363	0.3591025	0.021428872	0.039955374	0.07459345	0.2856025
a	0.001109121	0.00029675828	0.0004490846	0.006775761	0.020505311	0.020986378	0.065017074	0.028730206	0.7921774	0.0059565376	0.025014615	0.0116903735	0.021291386
p	0.00014937109	0.0017335755	0.0011914383	0.018604483	0.028824244	0.046220984	0.3594766	0.090459876	0.1932541	0.0922137	0.11736684	0.017252112	0.033252746
à	0.018758586	0.0028882322	0.0010682954	0.012312017	0.08623602	0.1396743	0.21124998	0.037341997	0.029656444	0.1989226	0.011452915	0.10867447	0.14176418
r	1.6048753e-05	9.310562e-05	0.0010812617	0.001049471	0.002716136	0.0026076993	0.027237294	0.0056986073	0.4308202	0.016813442	0.44153172	0.03838456	0.031950366
o	0.06242121	0.001870342	0.0006739237	0.009631299	0.010964372	0.034198977	0.07003763	0.013768624	0.08928626	0.021966323	0.027084932	0.3217764	0.3363198
n	0.00011263104	0.0007689352	0.0006954572	0.0034838251	0.008850542	0.008264112	0.14032802	0.02292113	0.036230493	0.40510884	0.23646432	0.08379689	0.052974746
t	0.0068216426	0.0023578338	0.0022812146	0.0023453066	0.036153693	0.055160932	0.11542006	0.070374906	0.04404999	0.24192101	0.026009033	0.095725745	0.30137864
a	0.00028777492	0.0010176309	0.00273721	0.0072820457	0.019345794	0.009792861	0.082029976	0.024278903	0.076525696	0.09343099	0.10674225	0.12915751	0.44737133
s	0.00033453765	0.0011405883	0.0020491078	0.0060523036	0.01632703	0.007016752	0.05378015	0.007910769	0.020772945	0.17317946	0.3669662	0.25382113	0.09064895
i	0.0003435692	0.0016966315	0.0062758042	0.000591435	0.011241896	0.013271126	0.032406732	0.059645362	0.23487587	0.04012133	0.11752684	0.10430727	0.37769613
n	0.00017114327	0.0012276752	0.0029203633	0.006678381	0.00976643	0.0030426574	0.026801536	0.005022976	0.06795137	0.023339357	0.5475591	0.20528786	0.10023119
a	0.0001267074	0.0010965534	0.005545804	0.00037893557	0.0077299946	0.007811475	0.021678643	0.046029307	0.2355003	0.02950723	0.13801755	0.13433677	0.3722407
g	0.00018896285	0.0009351169	0.002586189	0.004934348	0.0075528473	0.0017729077	0.015324688	0.002367707	0.04106085	0.0123911165	0.52366936	0.28860274	0.09861321
l	0.012517128	0.0015982094	0.002304984	0.0013788783	0.013733014	0.027310839	0.048216272	0.03806212	0.05160493	0.18444094	0.03785813	0.2553342	0.32564038
i	0.00020020356	5.6218312e-05	0.00040510632	0.0006297153	0.00058610336	0.00031734147	0.0031084775	0.00069291017	0.15283728	0.003427651	0.43535802	0.27261448	0.1297665
s	0.00050188665	0.001384768	0.0021881699	0.0048240316	0.0066891103	0.0017033538	0.013942287	0.0027549986	0.02588468	0.0073821303	0.26479155	0.5841991	0.083753906
ì	0.00016289052	0.0006310719	0.0054449993	0.0007003753	0.012729726	0.005508563	0.010909587	0.010933919	0.07891943	0.059374873	0.1408592	0.28609055	0.38773483
a	6.626801e-06	6.289121e-05	0.004157228	0.00020334202	0.0006521997	0.00014637937	0.00066245464	0.00015814137	0.03992479	0.002189966	0.56617135	0.2776271	0.108037554
</S>	5.723142e-05	0.0003152481	0.0035453036	0.002734336	0.0049274364	0.00081464177	0.004624146	0.0004631934	0.039171237	0.0025010118	0.21630917	0.46589297	0.2586441
