 	deve	essere	bianco	</S>
è	0.81502	0.010176262	0.08270723	0.09209655
n	0.64758146	0.2844337	0.04681901	0.021165865
a	0.09415515	0.6320386	0.02148644	0.25231984
è	0.5996376	0.39631942	0.002247704	0.0017952913
n	0.003664407	0.90946126	0.083235055	0.003639297
e	0.004849826	0.50059193	0.19000575	0.30455256
à	0.031980235	0.77002317	0.1669549	0.031041648
s	0.003541358	0.28157052	0.7031675	0.011720597
p	0.000564883	0.028204126	0.62848216	0.3427488
r	0.0007871101	0.012451124	0.9318746	0.05488724
o	0.0011602647	0.005076893	0.9703186	0.023444213
</S>	0.005638319	0.008045077	0.7206398	0.26567674
