 	dei	genitori	</S>
à	0.82488996	0.050335843	0.1247742
t	0.8782487	0.09321659	0.028534777
t	0.17391609	0.23514913	0.5909348
u	0.9583054	0.025355916	0.016338693
s	0.6074365	0.16307503	0.22948852
g	0.002113953	0.25375	0.74413604
e	0.05478877	0.5452957	0.39991555
n	0.07124232	0.3373121	0.5914456
i	0.0019912317	0.44449884	0.55350995
t	0.008086285	0.52601755	0.4658962
ò	0.00063205074	0.62785625	0.3715116
r	0.00021231272	0.79239595	0.20739166
u	0.0013494802	0.3063734	0.69227713
</S>	0.0016162904	0.03510863	0.9632751
