 	il	dito	si	gonfiò	</S>
o	0.53872216	0.33362898	0.008501408	0.026524318	0.09262312
d	0.108558424	0.87645537	0.0016795828	6.352077e-05	0.01324319
à	0.005317074	0.04988505	0.23709615	0.13828522	0.56941646
t	0.0031574485	0.9872736	0.009142812	0.00017056214	0.0002556576
t	0.10925985	0.37828684	0.01147197	0.008381428	0.4925999
i	0.02211011	0.9152625	0.06128081	0.0005198252	0.00082669844
l	0.004741127	0.81634605	0.16349313	0.005801524	0.009618149
o	0.0020617463	0.8741489	0.09090204	0.015017007	0.01787025
è	0.01580335	0.42532387	0.45247832	0.06726141	0.039132994
p	0.0003058782	0.1343055	0.5549938	0.26573476	0.044659995
r	0.0022986706	0.013039646	0.19853385	0.21457908	0.57154876
i	0.0017518353	0.016703596	0.17900082	0.7806065	0.02193729
m	0.0058321226	0.007874143	0.027162284	0.8335314	0.12560007
m	0.019086782	0.026207957	0.071322806	0.17099828	0.7123841
è	0.025290836	0.0130658215	0.011415955	0.80038893	0.14983846
n	0.23067604	0.049733855	0.04432753	0.586238	0.08902459
o	0.11425437	0.02506384	0.15255092	0.35184604	0.3562849
</S>	0.007251497	0.005715824	0.00815391	0.79243606	0.18644267
